Gene	Chromosome	Start	End	Canonical
SCAND1	20	34541666	34542503	NM_016558
CCRL1	3	132319241	132320294	NM_178445
PSMC3IP	17	40724985	40729704	NM_001256015
ANKMY1	2	241419025	241496752	NM_016552
TM7SF3	12	27126897	27167101	NM_016551
MAGI1	3	65342052	66023983	NM_015520
C1RL	12	7248986	7261776	NM_016546
DNAJC27	2	25170484	25194773	NM_016544
SIGLEC7	19	51645626	51656502	NM_014385
GNG13	16	848718	849077	NM_016541
GPR83	11	94113314	94134413	NM_016540
SIRT6	19	4174613	4182536	NM_016539
PNKD	2	219135258	219209704	NM_015488
ZNF571	19	38055499	38077577	NM_016536
ZNF581	19	56155937	56156531	NM_016535
NINJ2	12	674400	772664	NM_016533
INPP5K	17	1399116	1419793	NM_001135642
KLF3	4	38682246	38698884	NM_016531
ATP8A2	13	25946350	26594123	NM_016529
RAB8B	15	63481823	63555818	NM_016530
HAO2	1	119923708	119936463	NM_001005783
BET1L	11	205301	207321	NM_016526
SYT17	16	19179968	19278398	NM_016524
KLRF1	12	9980140	9997125	NM_016523
NTM	11	131240701	132205040	NM_001144058
SAMHD1	20	35521334	35580046	NM_015474
C9orf78	9	132590439	132597500	NM_016520
PIPOX	17	27370243	27383323	NM_016518
VPS54	2	64120563	64211133	NM_016516
ICK	6	52869946	52906034	NM_016513
PPP2R4	9	131873879	131909743	NM_178001
CABP1	12	121078488	121104703	NM_001033677
CBWD2	2	114195445	114253320	NM_172003
HSCB	22	29138083	29153157	NM_172002
LACTB	15	63414070	63434004	NM_032857
ZDHHC16	10	99211432	99216648	NM_198046
RXFP1	4	159443128	159573207	NM_001253732
CCDC88A	2	55518846	55646215	NM_001135597
SEMA4A	1	156124369	156146788	NM_022367
ADCY5	3	123003454	123167392	NM_183357
SEMA6D	15	48051995	48063982	NM_153618
TSLP	5	110407588	110411772	NM_033035
KDELR3	22	38864238	38878541	NM_006855
KDELR2	7	6502596	6523688	NM_006854
KLK11	19	51525800	51530773	NM_144947
GLIPR1	12	75874660	75892758	NM_006851
PDIA2	16	333169	337113	NM_006849
LILRB4	19	55174485	55179470	NM_006847
SPINK5	5	147443607	147516554	NM_001127698
KIF2C	1	45205604	45232851	NM_006845
E2F6	2	11586602	11606005	NM_198256
TERT	5	1253842	1295104	NM_198253
EIF4G1	3	184033584	184052696	NM_182917
PLEKHB1	11	73357653	73372647	NM_021200
HBS1L	6	135286416	135375829	NM_006620
MAN2C1	15	75648246	75660924	NM_001256494
SMPDL3A	6	123110491	123130553	NM_006714
TTC37	5	94800310	94882854	NM_014639
ART3	4	76997042	77033672	NM_001130016
AMFR	16	56396820	56459239	NM_001144
FIG4	6	110012638	110146468	NM_014845
MEMO1	2	32093429	32235316	NM_015955
MRPL48	11	73499016	73575415	NM_016055
MTPAP	10	30602537	30638204	NM_018109
AGK	7	141255266	141352724	NM_018238
CCAR1	10	70482261	70551023	NM_018237
CTAGE6	7	143452417	143454751	NM_178561
KCNJ3	2	155555287	155711825	NM_002239
AGBL3	7	134672684	134820013	NM_178563
DPCR1	6	30908776	30920894	NM_080870
TLE4	9	82187705	82340059	NM_007005
PRAMEF21	1	13521972	13747733	NM_001100114
BCAP29	7	107221217	107259050	NM_018844
LAMTOR4	7	99746595	99751587	NM_001008395
C14orf180	14	105052767	105055120	NM_001008404
NTRK2	9	87285663	87636352	NM_001018065
YDJC	22	21982706	21984303	NM_001017964
DEPTOR	8	120886086	121061943	NM_022783
MPHOSPH9	12	123641353	123706334	NM_022782
RNF38	9	36339748	36400105	NM_194328
DDX31	9	135470252	135545636	NM_022779
RMND5A	2	86947790	87000534	NM_022780
CEP85	1	26566274	26603784	NM_022778
RABL5	7	100958414	100964990	NM_001130821
OSBPL11	3	125249358	125313644	NM_022776
EXO5	1	40980216	40981338	NM_022774
LMF1	16	904531	1020980	NM_022773
EPS8L2	11	709407	726981	NM_022772
RAB34	17	27041589	27045285	NM_031934
TM2D1	1	62149107	62190792	NM_032027
TATDN1	8	125500834	125551287	NM_032026
MTFMT	15	65295399	65321951	NM_139242
ZNF563	19	12429407	12444296	NM_145276
CORO1B	11	67205846	67210099	NM_001018070
KIAA2013	1	11980371	11986294	NM_138346
VWA5B2	3	183948316	183959826	NM_138345
ESAM	11	124623541	124632050	NM_138961
ELF5	11	34501764	34533116	NM_198381
NRN1L	16	67918806	67920162	NM_198443
CCNY	10	35625981	35858098	NM_145012
TRAPPC2	X	13732525	13752251	NM_001011658
OTX1	2	63280125	63283451	NM_014562
TFCP2L1	2	121981916	122042685	NM_014553
TRIM2	4	154125682	154256118	NM_001130067
ANGPT4	20	853602	896857	NM_015985
UCHL5	1	192985480	193028390	NM_015984
EIF3L	22	38245456	38284471	NM_016091
C1QA	1	22964109	22965900	NM_015991
NIP7	16	69373732	69375555	NM_016101
NAA20	20	19998040	20013831	NM_181527
RBM7	11	114271393	114278529	NM_016090
KLHL5	4	39064134	39122686	NM_015990
ZNF589	3	48282661	48310276	NM_016089
CSAD	12	53552294	53573592	NM_015989
ZNF331	19	54072630	54081206	NM_018555
MEX3A	1	156046364	156051789	NM_001093725
CNPY1	7	155295762	155301732	NM_001103176
CCDC64B	16	3078106	3085497	NM_001103175
SULF1	8	70476210	70570770	NM_001128205
TBXAS1	7	139529186	139719899	NM_001130966
DYNC1I2	2	172546665	172604399	NM_001378
BCL2L14	12	12232239	12251922	NM_030766
THEM4	1	151847363	151881934	NM_053055
TGM7	15	43568652	43594448	NM_052955
CATSPER1	11	65784360	65793850	NM_053054
CYYR1	21	27840819	27945259	NM_052954
LRRC3B	3	26751163	26751943	NM_052953
TADA1	1	166826803	166845470	NM_053053
SLC43A2	17	1478897	1531168	NM_152346
ANKRD13B	17	27920639	27940600	NM_152345
LSM12	17	42113575	42143955	NM_152344
TOR2A	9	130494312	130497549	NM_130459
ANKRD46	8	101522804	101542061	NM_001270378
FLRT3	20	14306202	14308152	NM_198391
DPY19L2	12	63954291	64062173	NM_173812
PPAPDC1A	10	122216817	122349014	NM_001030059
RPL30	8	99054028	99057595	NM_000989
FGFR4	5	176516603	176524677	NM_213647
ETV6	12	11803061	12043980	NM_001987
GRN	17	42426532	42430166	NM_002087
MRPL44	2	224822189	224831751	NM_022915
LGALS7B	19	39279866	39282333	NM_001042507
SLC12A6	15	34526081	34628881	NM_001042496
TMPRSS11BNL	4	69056958	69083631	NM_001129907
PCMTD2	20	62891318	62904953	NM_018257
SLC25A36	3	140660896	140695295	NM_001104647
CD151	11	836069	838192	NM_004357
CD81	11	2398779	2418096	NM_004356
SNAP25	20	10256139	10286845	NM_003081
EIF3J	15	44829392	44853347	NM_003758
EIF3I	1	32688042	32696797	NM_003757
SPOCK1	5	136314342	136834247	NM_004598
ANKRD30A	10	37414883	37520397	NM_052997
NOL6	9	33462661	33473840	NM_022917
CHPF	2	220404104	220408260	NM_024536
EPB41L2	6	131179275	131277625	NM_001431
DDX23	12	49224251	49239565	NM_004818
SOX30	5	157053347	157079086	NM_178424
RPE	2	210867385	210884515	NM_199229
SLC16A2	X	73641472	73751388	NM_006517
RP2	X	46696535	46739204	NM_006915
C2orf57	2	232457662	232458850	NM_152614
RTN4	2	55200291	55277436	NM_020532
MINK1	17	4736878	4800582	NM_153827
TCTN1	12	111051987	111085697	NM_001082538
NOS1	12	117653113	117768874	NM_001204218
PLCXD3	5	41313718	41510628	NM_001005473
ZNF808	19	53046537	53058881	NM_001039886
TIAL1	10	121335176	121355977	NM_001033925
SRSF5	14	70234873	70238178	NM_001039465
MROH7	1	55118599	55175860	NM_001039464
ELMO1	7	36895155	37382294	NM_001206482
CSAG3	X	151877052	151928428	NM_001129828
EDA	X	68836152	69255459	NM_001399
OR9Q2	11	57957962	57958907	NM_001005283
C17orf80	17	71231621	71243480	NM_017941
CABLES1	18	20715726	20837331	NM_001100619
TROAP	12	49717391	49725400	NM_005480
PROM1	4	15972689	16077529	NM_001145847
CTAGE9	6	132029823	132032157	NM_001145659
ME3	11	86152320	86382986	NM_001161586
KDM6B	17	7748872	7756839	NM_001080424
ENOSF1	18	674304	712587	NM_017512
SLC25A19	17	73269531	73282845	NM_001126121
IL11	19	55877374	55881678	NM_000641
FASLG	1	172628341	172635156	NM_000639
DRD1	5	174868761	174870102	NM_000794
FOLR3	11	71846998	71850875	NM_000804
FOLR2	11	71929628	71932806	NM_000803
RNASE1	14	21269756	21270227	NM_198235
WFDC10B	20	44313468	44333630	NM_172006
TMEM139	7	142983050	142983922	NM_001242774
PRKACA	19	14203923	14228359	NM_002730
C19orf35	19	2275678	2280930	NM_198532
ATP9B	18	76829410	77137383	NM_198531
HDDC3	15	91474772	91475770	NM_198527
ZNF710	15	90610369	90623061	NM_198526
KIF7	15	90171649	90196161	NM_198525
TEX9	15	56657648	56720642	NM_198524
C12orf42	12	103695885	103872204	NM_001099336
TBC1D10C	11	67171673	67177225	NM_198517
IQSEC1	3	12940888	13114514	NM_001134382
RNF10	12	120972614	121014469	NM_014868
KBTBD11	8	1949358	1951230	NM_014867
SEC16A	9	139336206	139372067	NM_014866
IKZF1	7	50358657	50468325	NM_006060
HLA-DQB2	6	32724229	32731247	NM_001198858
GALC	14	88401075	88459843	NM_000153
FAM161A	2	62053589	62081176	NM_001201543
JMJD7-PLA2G4B	15	42120322	42140058	NM_005090
RBBP6	16	24551947	24583766	NM_006910
C12orf66	12	64587621	64616017	NM_152440
ZNF664	12	124496691	124497477	NM_152437
GLIPR1L2	12	75784896	75824941	NM_001270396
AMDHD1	12	96337176	96361621	NM_152435
TTI1	20	36611857	36642218	NM_014657
KIAA0040	1	175129849	175130149	NM_001162893
SLC25A44	1	156169638	156180222	NM_014655
WSCD2	12	108589609	108642120	NM_014653
IPO13	1	44413272	44433354	NM_014652
LOC100288332	16	15457515	15472151	NM_001277325
AGAP9	10	47192141	48237210	NM_001190810
CYB5A	18	71920818	71959110	NM_001914
NCF2	1	183525252	183559464	NM_000433
ALG2	9	101980215	101984176	NM_033087
ACSM1	16	20634807	20702510	NM_052956
CDK10	16	89753118	89762183	NM_052988
CLK1	2	201718028	201728949	NM_001162407
XPO7	8	21777281	21862599	NM_015024
ST6GALNAC1	17	74621411	74639720	NM_018414
CHST11	12	104851189	105151581	NM_018413
ST7	7	116593594	116869911	NM_021908
HR	8	21973212	21986683	NM_005144
TAS2R50	12	11138559	11139459	NM_176890
LRIF1	1	111490580	111506310	NM_018372
CSGALNACT1	8	19263290	19363345	NM_001130518
DEPDC1B	5	59893579	59995920	NM_018369
DRAM1	12	102271567	102315038	NM_018370
PDGFRA	4	55124935	55161439	NM_006206
KIAA1324	1	109656805	109745634	NM_020775
MAP6	11	75298103	75379414	NM_207577
ZAP70	2	98340499	98355961	NM_001079
USP17L2	8	11994676	11996269	NM_201402
EGFR	7	55086970	55273310	NM_005228
ADAMTSL3	15	84324513	84706558	NM_207517
ANKHD1-EIF4EBP3	5	139781552	139928822	NM_020690
MDGA2	14	47311133	48143999	NM_001113498
ATP7B	13	52508891	52585473	NM_000053
RASD1	17	17398438	17399495	NM_016084
NDUFB6	9	32553873	32573058	NM_002493
NDUFS1	2	206988908	207023857	NM_005006
STK17A	7	43622842	43664441	NM_004760
EFNB1	X	68049619	68060497	NM_004429
LOC100996331	15	21040719	22082770	NM_001277304
C9orf131	9	35041141	35045866	NM_203299
TBC1D28	17	18539774	18544665	NM_001039397
SPATA6L	9	4604179	4666250	NM_001039395
DCUN1D4	4	52709408	52779750	NM_001040402
PTCH1	9	98209193	98279102	NM_001083602
OR14I1	1	248844669	248845605	NM_001004734
TEX11	X	69748944	70127639	NM_001003811
TSPAN17	5	176074616	176084699	NM_012171
CHD2	15	93444467	93567935	NM_001271
SPG20	13	36878501	36909967	NM_015087
MGRN1	16	4674961	4738909	NM_001142290
ZNF436	1	23688461	23694498	NM_001077195
BAHCC1	17	79373539	79430843	NM_001080519
SENP7	3	101044786	101231974	NM_020654
MYH14	19	50713622	50813047	NM_001145809
CBS	21	44473989	44492303	NM_000071
TEX14	17	56634371	56729362	NM_001201457
ATP6AP1	X	153657038	153664237	NM_001183
ANXA11	10	81915608	81932617	NM_145869
SLC5A5	19	17983128	18004686	NM_000453
ADRA1B	5	159343912	159399499	NM_000679
COL15A1	9	101706343	101832168	NM_001855
PNLDC1	6	160221339	160241549	NM_173516
DMGDH	5	78293904	78365443	NM_013391
LUC7L	16	239196	279338	NM_018032
FLAD1	1	154956170	154965513	NM_025207
FAM86A	16	5135632	5147740	NM_201400
POU3F4	X	82763332	82764418	NM_000307
MYBPC3	11	47353421	47374198	NM_000256
LIF	22	30639639	30642684	NM_002309
UBTFL1	11	89819117	89820299	NM_001143975
HRH2	5	175110236	175112529	NM_022304
LRP12	8	105502900	105601125	NM_013437
ECD	10	74894340	74923695	NM_001135752
KIAA1586	6	56911553	56919661	NM_020931
RPL36A	X	100645923	100650736	NM_001199972
ZNF14	19	19822160	19843767	NM_021030
ZSWIM6	5	60628099	60840144	NM_020928
KRT20	17	39032612	39041437	NM_019010
VAT1L	16	77822579	78011592	NM_020927
NAA10	X	153195439	153200357	NM_003491
PLD5	1	242253155	242687578	NM_152666
LDLR	19	11200224	11241992	NM_000527
LY96	8	74903677	74941289	NM_015364
LIM2	19	51883454	51890697	NM_030657
C7orf72	7	50135681	50198765	NM_001161834
MIB2	1	1550839	1565910	NM_080875
MUT	6	49399440	49427179	NM_000255
GOLGB1	3	121383326	121449818	NM_001256487
MROH8	20	35731089	35807883	NM_152503
PYCR1	17	79890755	79894690	NM_006907
RASGRP2	11	64494773	64510338	NM_153819
PEX10	1	2337204	2343941	NM_153818
ZFPM1	16	88520046	88601387	NM_153813
ALG8	11	77812009	77850634	NM_001007027
GAGE12E	X	49297934	49351813	NM_001098418
GCLC	6	53363553	53409443	NM_001498
EVX1	7	27282649	27286044	NM_001989
CTSG	14	25042842	25045429	NM_001911
CXCL3	4	74902978	74904328	NM_002090
EVPL	17	74003183	74023279	NM_001988
KLHL1	13	70275833	70681831	NM_020866
NYAP2	2	226273596	226516281	NM_020864
F8	X	154065871	154250827	NM_000132
LRFN1	19	39798272	39805976	NM_020862
ZBTB2	6	151686655	151694772	NM_020861
HTR7	10	92502238	92617428	NM_019859
SHROOM3	4	77357205	77700330	NM_020859
TMEM165	4	56262356	56291619	NM_018475
TLE2	19	2997845	3045786	NM_003260
PKMYT1	16	3022953	3029658	NM_182687
TOP1MT	8	144391610	144417031	NM_001258446
TARS	5	33441192	33467813	NM_001258438
LOC100130370	17	79349891	79358931	NM_001272086
INO80B	2	74682243	74684991	NM_031288
RNF34	12	121838015	121861379	NM_194271
CDH20	18	59157786	59221928	NM_031891
MRPS21	1	150266786	150280662	NM_018997
SLC2A13	12	40153827	40499610	NM_052885
SIGLEC11	19	50453226	50464338	NM_052884
TXNRD3	3	126326747	126373833	NM_052883
CLCNKB	1	16370987	16383411	NM_000085
HK2	2	75061707	75118068	NM_000189
HMBS	11	118955743	118963993	NM_000190
RPL36A-HNRNPH2	X	100645923	100666980	NM_001199973
NDUFB5	3	179322603	179341828	NM_002492
ACTG1	17	79477715	79479380	NM_001199954
IVD	15	40698019	40710462	NM_002225
TACC1	8	38645100	38705541	NM_006283
TBC1D15	12	72233561	72316984	NM_001146214
FAN1	15	31196866	31229459	NM_014967
NBN	8	90947809	90996789	NM_002485
DALRD3	3	49053020	49055997	NM_018114
LDLRAD1	1	54474654	54483849	NM_001010978
NARG2	15	60715832	60770176	NM_024611
FAM25C	10	47177259	49207799	NM_001137548
PFDN6	6	33257633	33258622	NM_001185181
SLC39A14	8	22262223	22291517	NM_001135153
KCNK16	6	39282777	39290316	NM_001135105
FNDC3B	3	171830269	172115265	NM_022763
SPATC1L	21	47581292	47602730	NM_001142854
HES6	2	239147467	239148546	NM_018645
C17orf49	17	6918176	6920640	NM_001142798
CXCR3	X	70836214	70838299	NM_001142797
ACOXL	2	111525966	111875393	NM_001142807
CRHR1	17	43861910	43912130	NM_001256299
PTPN3	9	112141835	112225714	NM_001145369
CD300LG	17	41924584	41939279	NM_145273
TSPAN9	12	3310359	3392282	NM_006675
UGT3A2	5	36035799	36066891	NM_174914
KLHL13	X	117032870	117162436	NM_033495
WWTR1	3	149238591	149375093	NM_015472
LRRC37A2	17	44590078	44632945	NM_001006607
SPNS1	16	28986472	28995620	NM_032038
SMG7	1	183441755	183522336	NM_001174061
TRMT13	1	100598724	100614376	NM_019083
ERAS	X	48687533	48688235	NM_181532
SYT15	10	46959968	46970448	NM_031912
EML6	2	54952198	55197231	NM_001039753
CLPSL1	6	35748887	35755787	NM_001010886
CT47A10	X	120064142	120114523	NM_001080137
GBP6	1	89834110	89851028	NM_198460
ZNF600	19	53268839	53271008	NM_198457
GPRIN2	10	46998880	47000257	NM_014696
ARRB2	17	4614016	4624334	NM_001257328
GPR126	6	142623466	142764652	NM_020455
CELF2	10	11047350	11371016	NM_001025077
LPAR6	13	48985524	48986559	NM_005767
GBX2	2	237074556	237076614	NM_001485
GAGE8	X	49189215	49313606	NM_012196
HAAO	2	42994576	43019676	NM_012205
GTF3C4	9	135545985	135564332	NM_012204
FZD4	11	86662183	86666127	NM_012193
GNAL	18	11689562	11881134	NM_182978
NNT	5	43609297	43704506	NM_012343
GCOM1	15	57884232	58006877	NM_001018090
USP14	18	158698	211284	NM_005151
UNC119	17	26874314	26879575	NM_054035
ZNF197	3	44670646	44688017	NM_006991
HAUS5	19	36103696	36113895	NM_015302
FAM135A	6	71138045	71269624	NM_001162529
PREX1	20	47242422	47444397	NM_020820
UNC79	14	93943986	94173250	NM_020818
PTPN22	1	114357526	114414245	NM_015967
BTG3	21	18966410	18981462	NM_001130914
ZNF720	16	31724753	31770697	NM_001130913
SUGT1	13	53227055	53261970	NM_001130912
CCRL2	3	46449161	46450605	NM_003965
MAVS	20	3835271	3846794	NM_020746
C7orf61	7	100054374	100061648	NM_001004323
AGMO	7	15240909	15601470	NM_001004320
PAPL	19	39575909	39600758	NM_001004318
PRRG1	X	37265502	37312874	NM_001173489
PRL	6	22287630	22297211	NM_000948
SST	3	187386852	187388079	NM_001048
PRIM2	6	57183243	57512702	NM_000947
SRD5A1	5	6633689	6668381	NM_001047
SLC12A2	5	127419646	127522323	NM_001046
IRAK2	3	10206638	10283912	NM_001570
EIF3E	8	109214113	109260931	NM_001568
INPPL1	11	71936028	71949397	NM_001567
WBSCR27	7	73249072	73256470	NM_152559
C7orf60	7	112461798	112579805	NM_152556
C6orf195	6	2623672	2624056	NM_152554
RNF217	6	125330422	125404043	NM_152553
SNRNP48	6	7590490	7609106	NM_152551
CCDC112	5	114603572	114632240	NM_152549
SH3RF2	5	145317491	145442264	NM_152550
FAM81B	5	94727093	94785986	NM_152548
SRP9	1	225965642	225977061	NM_001130440
ATL2	2	38523135	38604402	NM_022374
TOM1	22	35695921	35743202	NM_001135732
PRAMEF10	1	12952746	12955678	NM_001039361
HLA-B	6	31322259	31324935	NM_005514
SLC7A8	14	23596385	23652123	NM_012244
EPN1	19	56188537	56206722	NM_001130071
SMIM19	8	42401615	42407751	NM_001135674
ALDH3A1	17	19641533	19648442	NM_001135168
COMT	22	19950049	19956259	NM_000754
DPF1	19	38702702	38714863	NM_001135155
ALS2CL	3	46712473	46730930	NM_001190707
FAM65A	16	67563725	67580366	NM_001193523
STARD3	17	37809784	37819161	NM_006804
TMEM40	3	12776272	12791331	NM_018306
DNMT3B	20	31367921	31395709	NM_006892
MRPL34	19	17416701	17417188	NM_023937
AUNIP	1	26161483	26185848	NM_024037
LRFN4	11	66625215	66627666	NM_024036
MRPS34	16	1822221	1823120	NM_023936
DDRGK1	20	3171298	3185273	NM_023935
FUNDC2	X	154255213	154282947	NM_023934
GDAP1L1	20	42875974	42907940	NM_001256737
PIN4	X	71401560	71482646	NM_001170747
WSCD1	17	5983978	6023981	NM_015253
EHBP1	2	62934326	63272635	NM_015252
CSHL1	17	61987070	61988556	NM_022579
MBD4	3	129150343	129158676	NM_003925
BCL10	1	85733309	85742035	NM_003921
SGCE	7	94214776	94285410	NM_001099401
ARL3	10	104436650	104474032	NM_004311
RHOH	4	40245006	40245582	NM_004310
REXO2	11	114310250	114320697	NM_015523
DYNC2LI1	2	44001277	44036906	NM_001193464
MAPK14	6	35995934	36076224	NM_001315
PARK2	6	161771130	163148700	NM_004562
KRTAP23-1	21	31720726	31720924	NM_181624
KRTAP13-3	21	31797711	31798230	NM_181622
ABCA6	17	67075113	67136844	NM_080284
ABCA9	17	66972055	67047267	NM_080283
OPA1	3	193311166	193409916	NM_130837
TNFSF8	9	117656358	117692583	NM_001244
CREBRF	5	172507778	172560748	NM_153607
BIRC5	17	76210397	76219738	NM_001012271
KCNMA1	10	78637626	79397400	NM_001014797
RNF146	6	127601483	127608838	NM_001242844
C2orf91	2	42165742	42180435	NM_001242815
LOC284385	19	9732228	9743048	NM_001242812
NUP93	16	56782159	56878521	NM_001242795
ZNF286A	17	15603643	15620604	NM_020652
RTCA	1	100731931	100757060	NM_001130841
LOC730183	16	30709077	30709629	NM_001256932
CTNNB1	3	41265559	41280833	NM_001904
ENTPD1	10	97471713	97626140	NM_001776
CYBRD1	2	172378782	172411337	NM_024843
SAA2	11	18261494	18269558	NM_001127380
ZNF84	12	133618053	133635518	NM_003428
ZNF630	X	47917856	47926274	NM_001190255
COLEC11	2	3651235	3691708	NM_199235
XKR5	8	6668718	6693015	NM_207411
NUDT12	5	102886561	102895949	NM_031438
THAP2	12	72058289	72070888	NM_031435
MFRP	11	119212257	119217223	NM_031433
UCK1	9	134400426	134406561	NM_001261451
INPP4A	2	99136511	99204071	NM_001134224
LRRC4C	11	40135919	40137842	NM_001258419
C5AR2	19	47844056	47845070	NM_001271749
CALCRL	2	188210910	188250322	NM_005795
ILF3	19	10781281	10799988	NM_017620
AJAP1	1	4715485	4834559	NM_018836
KDELC1	13	103436844	103451020	NM_024089
CLCC1	1	109477291	109493059	NM_001048210
C9orf16	9	130922686	130925894	NM_024112
CHAC1	15	41245655	41247972	NM_024111
METTL22	16	8719522	8740000	NM_024109
C11orf48	11	62430600	62437503	NM_024099
DMPK	19	46273738	46285610	NM_001081563
FAM46D	X	79698038	79699208	NM_001170574
ECHDC1	6	127611013	127663516	NM_001002030
GMNC	3	190573083	190580404	NM_001146686
TMEM88B	1	1361507	1363167	NM_001146685
AGXT2L1	4	109663639	109684054	NM_031279
PQLC1	18	77663975	77710926	NM_025078
PRAMEF11	1	12884799	12888523	NM_001146344
ANKRD34C	15	79585626	79587234	NM_001146341
MYOCD	17	12569505	12666961	NM_001146312
VSTM2B	19	30017490	30054841	NM_001146339
GPR75-ASB3	2	53897639	54087065	NM_001164165
ZNF664-FAM101A	12	124796399	124799071	NM_001204299
GC	4	72611892	72669663	NM_000583
SMCO3	12	14958936	14959614	NM_001013698
PLIN5	19	4523539	4534086	NM_001013706
VWA5B1	1	20637094	20680756	NM_001039500
FAT2	5	150885125	150948492	NM_001447
SIVA1	14	105219538	105225822	NM_006427
FAF2	5	175875408	175933951	NM_014613
FAM120A	9	96214197	96326822	NM_014612
FAM114A1	4	38879699	38945178	NM_138389
VMAC	19	5904901	5909153	NM_001017921
SSTR1	14	38678594	38679770	NM_001049
ITGAE	17	3618140	3704438	NM_002208
PRLR	5	35049391	35089722	NM_000949
CEACAM6	19	42259546	42270167	NM_002483
KLK6	19	51462419	51471360	NM_001012964
PRSS8	16	31143329	31146819	NM_002773
TMPRSS15	21	19642285	19775939	NM_002772
PRSS3	9	33750514	33799178	NM_001197097
PRSS1	7	142457335	142460871	NM_002769
CRBN	3	3192548	3221371	NM_016302
ARPP21	3	35723243	35835450	NM_001267616
ASXL1	20	30946578	31025141	NM_015338
HP1BP3	1	21071289	21106933	NM_016287
DCXR	17	79993835	79995558	NM_016286
CNOT1	16	58554861	58633241	NM_016284
TANK	2	162036173	162092029	NM_004180
RMDN2	2	38156420	38294133	NM_144713
SLC23A3	2	220026630	220034706	NM_001144890
KLHL23	2	170591524	170606242	NM_144711
SEPT10	2	110301885	110371404	NM_144710
KRT26	17	38922766	38928365	NM_181539
GJC3	7	99521167	99527243	NM_181538
KRT27	17	38933250	38938745	NM_181537
IL22RA2	6	137466760	137482886	NM_052962
KRT28	17	38948678	38956145	NM_181535
KRT25	17	38904528	38911523	NM_181534
MYL9	20	35173287	35177652	NM_006097
PIK3R1	5	67522503	67593429	NM_181523
DNAJC19	3	180702427	180707390	NM_001190233
SRRT	7	100473211	100486170	NM_015908
CALCOCO1	12	54105727	54119026	NM_020898
FOLR4	11	94038802	94040858	NM_001199206
ARMC6	19	19145018	19168437	NM_001199196
ZBBX	3	166958580	167090689	NM_001199201
SIGLEC9	19	51628231	51639455	NM_014441
CIITA	16	10971187	11017160	NM_000246
CFHR1	1	196788974	196801129	NM_002113
HDC	15	50534456	50557820	NM_002112
ACTN3	11	66313981	66330664	NM_001258371
CHGA	14	93389704	93401229	NM_001275
ABP1	7	150553558	150558297	NM_001272072
CHD4	12	6679841	6715539	NM_001273
PIKFYVE	2	209136243	209220029	NM_015040
ZC4H2	X	64137643	64196257	NM_001178032
ECH1	19	39306252	39322412	NM_001398
LCP1	13	46701725	46733797	NM_002298
HSD17B14	19	49316431	49339668	NM_016246
HSD17B11	4	88258427	88312222	NM_016245
CYB5R1	1	202931654	202936333	NM_016243
SCARA3	8	27491717	27534117	NM_016240
MYO15A	17	18022114	18082184	NM_016239
FBLN1	22	45898865	45996326	NM_006486
ZFP36L1	14	69256249	69262866	NM_004926
SERPINI1	3	167506916	167543111	NM_005025
RXFP3	5	33936845	33938255	NM_016568
KRT8	12	53291211	53320233	NM_001256293
INSRR	1	156810664	156828413	NM_014215
IMPA2	18	11981668	12030457	NM_014214
SLC24A4	14	92790174	92959972	NM_153647
NUP50	22	45564058	45580536	NM_007172
PANK2	20	3869747	3903941	NM_153638
IL21R	16	27414491	27460604	NM_181079
KRTAP3-3	17	39150052	39150349	NM_033185
OR51B4	11	5322243	5323176	NM_033179
OR51B2	11	5344588	5345527	NM_033180
APOBEC3A	22	39353696	39358514	NM_145699
CAGE1	6	7327090	7387406	NM_001170692
CDKL3	5	133634341	133702214	NM_001113575
OR2T6	1	248550909	248551836	NM_001005471
OR8B2	11	124252297	124253239	NM_001005468
OR10G2	14	22102065	22102998	NM_001005466
C10orf114	10	21784528	21785743	NM_001010911
CPZ	4	8594560	8621344	NM_001014448
C20orf194	20	3233217	3388204	NM_001009984
ARRDC5	19	4891057	4902879	NM_001080523
CC2D2A	4	15477556	15603048	NM_001080522
SEPT9	17	75277617	75494740	NM_006640
MECOM	3	168802696	169381160	NM_001164000
WDR81	17	1619869	1640979	NM_001163809
SMIM1	1	3691937	3692485	NM_001163724
MOV10L1	22	50528517	50599892	NM_018995
SNAI1	20	48599596	48604593	NM_005985
SKP2	5	36152364	36184113	NM_005983
CITED2	6	139694268	139695275	NM_006079
PTK6	20	62160888	62168667	NM_005975
TAF6L	11	62543255	62554768	NM_006473
CD300C	17	72537727	72541921	NM_006678
SLC22A7	6	43266096	43272463	NM_153320
SLC1A7	1	53553680	53608121	NM_006671
TPBG	6	83074678	83075941	NM_006670
CYP46A1	14	100150754	100193064	NM_006668
PGRMC1	X	118370326	118377217	NM_006667
RUVBL2	19	49497168	49519099	NM_006666
SERPINE2	2	224840583	224903220	NM_006216
CCL27	9	34661940	34662630	NM_006664
PHYH	10	13320300	13342042	NM_001037537
PDGFRL	8	17434761	17500310	NM_006207
PCM1	8	17793119	17885171	NM_006197
TRPM3	9	73150868	73736270	NM_001007471
RESP18	2	220192238	220197899	NM_001007089
RLTPR	16	67679149	67691421	NM_001013838
GAGE2A	X	49198718	49361336	NM_001127212
TTC27	2	32853359	33046005	NM_017735
PLEKHA8	7	30068378	30157603	NM_001197026
KCNH2	7	150642452	150675001	NM_000238
