gene	canonical	chrom	start	end
ACP5	NM_001111035	19	11685474	11689801
ACP2	NM_001610	11	47260852	47270457
ACADSB	NM_001609	10	124768428	124817806
ACADL	NM_001608	2	211052715	211090215
ACAA1	NM_001607	3	38164200	38178733
AARS	NM_001605	16	70286296	70323412
TM4SF4	NM_004617	3	149192367	149221181
RCL1	NM_005772	9	4792833	4861064
DHRS9	NM_005771	2	169921298	169952677
TCF12	NM_207037	15	57210832	57580714
PLAC1L	NM_173801	11	59807747	59815516
PDZD8	NM_173791	10	119042605	119134937
AQPEP	NM_173800	5	115298150	115363299
ARHGEF15	NM_173728	17	8213555	8225834
ELAC2	NM_018127	17	12894928	12921381
MAGEB18	NM_173699	X	26156459	26158853
KRTAP24-1	NM_001085455	21	31653626	31655276
NUTM2A	NM_001099338	10	88985204	88994733
PHYHIP	NM_001099335	8	22077215	22089851
C2orf80	NM_001099334	2	209030070	209054773
KIAA1644	NM_001099294	22	44639556	44708731
NPW	NM_001099456	16	2069520	2070756
SCN4B	NM_174934	11	118004091	118023630
THOC6	NM_024339	16	3074031	3077756
CMKLR1	NM_001142343	12	108681820	108733094
NETO2	NM_018092	16	47115430	47177936
LRCOL1	NM_001195520	12	133179735	133187037
CD2	NM_001767	1	117297085	117311851
KDSR	NM_002035	18	60994970	61034506
CD1D	NM_001766	1	158149736	158156216
CD1B	NM_001764	1	158297739	158301321
CCND2	NM_001759	12	4382901	4414522
PRB1	NM_005039	12	11504756	11508524
SLC22A25	NM_199352	11	62931295	62997124
ACSM4	NM_001080454	12	7456927	7480969
NOXA1	NM_006647	9	140317846	140328858
SYT7	NM_001252065	11	61281187	61348344
IFT43	NM_001255995	14	76452095	76550092
RRAS2	NM_012250	11	14299465	14386052
KRT12	NM_000223	17	39017429	39023462
ARF5	NM_001662	7	127228405	127231759
ARL4D	NM_001661	17	41476352	41478504
ARF3	NM_001659	12	49329991	49351252
ARF4	NM_001660	3	57557089	57583215
AREG	NM_001657	4	75310852	75490485
TRIM23	NM_001656	5	64885506	64920187
AQP6	NM_001652	12	50366619	50370922
SHROOM2	NM_001649	X	9754495	9917481
AQP4	NM_001650	18	24432007	24445716
APOC4	NM_001646	19	45445494	45448753
APOC1	NM_001645	19	45417920	45422606
BRSK2	NM_001256627	11	1411128	1483919
CNGA4	NM_001037329	11	6260321	6265707
STAU1	NM_017453	20	47729875	47804904
KIFC3	NM_001130100	16	57792128	57836439
SETBP1	NM_015559	18	42260137	42648475
PIM3	NM_001001852	22	50354142	50357720
SLC45A2	NM_001012509	5	33944720	33984780
KIF4B	NM_001099293	5	154393259	154397685
FNDC3A	NM_001079673	13	49550047	49783915
SFTPA2	NM_001098668	10	81315607	81320163
MYRF	NM_001127392	11	61520120	61555989
SENP8	NM_001172109	15	72406598	72433311
FANCI	NM_001113378	15	89787193	89860362
CRYBB2	NM_000496	22	25615611	25627836
GDNF	NM_001190468	5	37812778	37839782
RPS21	NM_001024	20	60962120	60963576
SURF1	NM_003172	9	136218665	136223361
PTP4A1	NM_003463	6	64281919	64293489
DNALI1	NM_003462	1	38022519	38032458
KCNAB3	NM_004732	17	7825176	7832753
CTSH	NM_004390	15	79214091	79237420
IQCF3	NM_001085479	3	51860898	51864874
SERPINH1	NM_001207014	11	75273100	75283849
FCER2	NM_001220500	19	7753642	7767032
RIN2	NM_001242581	20	19867164	19983103
LOC100130451	NM_001242575	2	214141276	214148929
MAP4K4	NM_145686	2	102314164	102511152
PTPN2	NM_002828	18	12785476	12884334
PGF	NM_002632	14	75408532	75422467
ANAPC16	NM_001242546	10	73975757	73995618
NCOA6	NM_014071	20	33302577	33413433
MFSD11	NM_001242532	17	74732646	74775336
LOC729059	NM_001242521	1	23337326	23342343
HLA-DPA1	NM_001242524	6	33032345	33048555
SNX17	NM_014748	2	27593362	27600400
GLG1	NM_001145667	16	74481325	74641042
LRRC36	NM_018296	16	67360746	67419109
MAFF	NM_001161572	22	38597938	38612517
GDPD1	NM_182569	17	57297827	57353330
NEK11	NM_024800	3	130745693	131069309
POLQ	NM_199420	3	121150272	121264853
DNTTIP1	NM_052951	20	44420575	44440066
STEAP3	NM_182915	2	119981383	120023227
OGFOD1	NM_018233	16	56485423	56511407
SLC38A7	NM_018231	16	58700297	58718674
EFCAB6	NM_022785	22	43924623	44208217
RBMY1B	NM_001006121	Y	23673223	24064214
AKT1	NM_005163	14	105235686	105262080
CACTIN	NM_001080543	19	3610626	3626813
ZNF419	NM_001098491	19	57999078	58006048
DOK2	NM_003974	8	21766383	21771205
COX8A	NM_004074	11	63742078	63744015
PLK3	NM_004073	1	45266035	45271667
SFPQ	NM_005066	1	35649200	35658743
HNRNPF	NM_001098208	10	43881064	43904696
SEL1L	NM_005065	14	81937890	82000205
KCNQ2	NM_172107	20	62037541	62103993
NDUFB11	NM_019056	X	47001614	47004609
UBB	NM_018955	17	16284366	16286054
ROBO4	NM_019055	11	124754113	124767831
FAM35A	NM_019054	10	88854952	88951222
EXOC6	NM_019053	10	94594469	94819251
HOXC5	NM_018953	12	54426831	54429144
HOXB6	NM_018952	17	46673098	46682334
SPSB1	NM_025106	1	9352940	9429590
ZC3H8	NM_032494	2	112973438	113012664
ENOX2	NM_182314	X	129757356	130037208
MOB4	NM_199482	2	198380294	198418423
SPANXD	NM_032417	X	140785567	140786598
CARD11	NM_032415	7	2945709	3083509
PROK1	NM_032414	1	110993787	110999976
C15orf48	NM_032413	15	45722726	45725647
COL11A2	NM_080680	6	33130468	33160245
MED22	NM_181491	9	136207754	136214972
VN1R5	NM_173858	1	247419373	247420447
VN1R4	NM_173857	19	53770012	53770918
MALT1	NM_006785	18	56338617	56417370
ZNF445	NM_181489	3	44481261	44519162
ZGPAT	NM_032527	20	62338793	62367494
CBX8	NM_020649	17	77768175	77770915
MRPL55	NM_181462	1	228294379	228297013
WDFY3	NM_014991	4	85590692	85887544
QRFP	NM_198180	9	133768814	133769225
QRFPR	NM_198179	4	122249796	122302181
HRH1	NM_001098213	3	11178778	11304939
SHROOM1	NM_001172700	5	132157832	132166590
BMP4	NM_001202	14	54416454	54423554
SGSM1	NM_001039948	22	25202135	25322813
RAVER1	NM_133452	19	10426888	10444314
ANKS3	NM_133450	16	4746510	4784378
TMEM132D	NM_133448	12	129556270	130388212
AGAP4	NM_133446	10	46321049	46342921
GRIN3A	NM_133445	9	104331633	104500862
ZNF526	NM_133444	19	42724491	42732353
GPT2	NM_133443	16	46918307	46965201
TADA2A	NM_001488	17	35766976	35837226
SNCA	NM_000345	4	90645249	90759447
TMPRSS4	NM_019894	11	117947726	117990556
ELAVL1	NM_001419	19	8023456	8070529
ELAVL3	NM_001420	19	11562142	11591803
EIF4G2	NM_001172705	11	10818592	10830582
EIF4B	NM_001417	12	53400061	53435993
CAPNS1	NM_001749	19	36630917	36641255
GTF2H1	NM_001142307	11	18343815	18388590
GSC2	NM_005315	22	19136503	19137796
GRPR	NM_005314	X	16141423	16171641
HIST1H2BL	NM_003519	6	27775256	27775709
HIST1H2BN	NM_003520	6	27806439	27806888
HIST1H2BG	NM_003518	6	26216427	26216872
HIST2H2AC	NM_003517	1	149858524	149858961
HIST1H2AK	NM_003510	6	27805657	27806117
FZD6	NM_003506	8	104310660	104345094
ERCC5	NM_000123	13	103498190	103528351
HBZ	NM_005332	16	202853	204504
HBQ1	NM_005331	16	230332	231178
HBE1	NM_005330	11	5289579	5291373
HADH	NM_001184705	4	108910869	108956331
HAGH	NM_001040427	16	1859103	1877195
HIST1H1A	NM_005325	6	26017259	26018040
H3F3B	NM_005324	17	73772514	73775860
HIST1H1T	NM_005323	6	26107639	26108364
HIST1H1B	NM_005322	6	27834569	27835359
HIST1H1C	NM_005319	6	26055967	26056699
LCE3D	NM_032563	1	152551859	152552980
PLA2G12B	NM_032562	10	74694937	74714510
ZNF623	NM_001082480	8	144718182	144735900
NLRP3	NM_004895	1	247579457	247612406
CYB5RL	NM_001031672	1	54638026	54665746
ZNF573	NM_152360	19	38229202	38270230
RAB35	NM_006861	12	120532898	120554643
CSPG5	NM_001206945	3	47603727	47621730
AMACR	NM_014324	5	33987090	34008220
MCIDAS	NM_001190787	5	54515424	54523143
CLDN7	NM_001307	17	7163221	7166512
CCDC148	NM_138803	2	159027868	159313265
ENO1	NM_001201483	1	8921058	8939151
PIGO	NM_032634	9	35088684	35096598
SLC11A2	NM_001174129	12	51373565	51422058
ASB12	NM_130388	X	63444071	63450511
ASB14	NM_001142733	3	57302378	57326710
COLEC12	NM_130386	18	319354	500729
RGS12	NM_002926	4	3315873	3441640
VWA5A	NM_001130142	11	123986110	124017618
ZNF679	NM_153363	7	63688851	63727309
FCGR3B	NM_001244753	1	161592987	161601753
AKR1E2	NM_001040177	10	4868368	4890251
LMOD3	NM_198271	3	69156038	69171746
TBC1D3C	NM_001001418	17	34581084	34592032
TFAP2A	NM_001032280	6	10396915	10419797
OR4M2	NM_001004719	15	22368477	22369561
DUSP28	NM_001033575	2	241499470	241503431
ZNF30	NM_001099438	19	35417806	35436076
LRTM2	NM_001163925	12	1929432	1945918
PROM2	NM_001165978	2	95940200	95957055
SPDYE2B	NM_001166339	7	102191678	102301847
ABCA10	NM_080282	17	67144147	67240956
EPS8	NM_004447	12	15773074	15942510
KRT34	NM_021013	17	39533920	39538636
RBMY1A1	NM_005058	Y	23673257	24040639
ZNF365	NM_014951	10	64133915	64431771
HIRA	NM_003325	22	19318223	19419219
TULP3	NM_003324	12	3000032	3050306
EPPK1	NM_031308	8	144939911	144947434
PUS3	NM_031307	11	125763379	125773116
ARHGAP24	NM_001025616	4	86396283	86923823
LRRC48	NM_001130090	17	17876126	17920189
DOHH	NM_001145165	19	3490818	3500938
EZH2	NM_004456	7	148504463	148581441
ZNF620	NM_175888	3	40547529	40559712
OR14A16	NM_001001966	1	247978101	247979031
CORO1C	NM_001276471	12	109038884	109125326
PATZ1	NM_014323	22	31721789	31742249
OPN3	NM_014322	1	241756451	241803701
ORC6	NM_014321	16	46723557	46732306
LEMD3	NM_014319	12	65563350	65642141
RABGEF1	NM_014504	7	66205642	66276448
UTP20	NM_014503	12	101673904	101780397
PPP1R12C	NM_017607	19	55602280	55628968
PTPN6	NM_080549	12	7055739	7070479
APITD1	NM_199294	1	10490158	10502872
NACA2	NM_199290	17	59667793	59668563
NEK5	NM_199289	13	52638899	52703214
CCDC137	NM_199287	17	79633760	79640936
CFL1	NM_005507	11	65622284	65625804
PDCL	NM_005388	9	125580375	125590935
NUP98	NM_016320	11	3696239	3819022
NKTR	NM_005385	3	42642146	42690233
TNFRSF25	NM_148965	1	6521213	6526255
PPAN-P2RY11	NM_001198690	19	10216898	10226064
FAM156B	NM_001099684	X	52928408	52985629
DNPEP	NM_012100	2	220238179	220252662
PGLS	NM_012088	19	17622431	17632097
USP24	NM_015306	1	55532031	55681039
CCP110	NM_014711	16	19535178	19564728
KNTC1	NM_014708	12	123011808	123110947
TIMD4	NM_138379	5	156346292	156390266
RBM19	NM_001146699	12	114254542	114404176
IGF2	NM_000612	11	2150346	2170833
CRAT	NM_001257363	9	131857072	131873070
FXN	NM_181425	9	71650478	71715094
FGFR3	NM_001163213	4	1795038	1810599
SLAMF9	NM_033438	1	159921281	159924044
GSK3B	NM_002093	3	119540801	119813264
SV2B	NM_014848	15	91643181	91844539
USP5	NM_001098536	12	6961284	6975795
RFPL3	NM_001098535	22	32750871	32757148
ZCCHC5	NM_152694	X	77911565	77914825
MED12	NM_005120	X	70338405	70362304
THRAP3	NM_005119	1	36690016	36770957
CA4	NM_000717	17	58227301	58236906
CDK9	NM_001261	9	130548304	130553052
MMP8	NM_002424	11	102582525	102595685
IL3RA	NM_002183	X	1405508	1501582
MMP3	NM_002422	11	102706527	102714342
MAP3K11	NM_002419	11	65365225	65381720
MKI67	NM_002417	10	129894924	129924468
CXCL9	NM_002416	4	76922622	76928641
MIF	NM_002415	22	24236564	24237409
CD99	NM_001277710	X	2559227	2659350
MGST2	NM_001204366	4	140586921	140661899
PPP2CA	NM_002715	5	133532147	133561950
PPP1R10	NM_002714	6	30568176	30585084
CCL24	NM_002991	7	75441113	75443033
SNRPB	NM_003091	20	2442280	2451499
GANAB	NM_198335	11	62392297	62414198
CCL22	NM_002990	16	57392694	57400102
SEPW1	NM_003009	19	48281841	48287943
ATP1B2	NM_001678	17	7554253	7561089
ATP1B1	NM_001677	1	169075946	169101960
RABL2B	NM_001130921	22	51205919	51222087
C3orf80	NM_001168214	3	159943422	159946000
CYP21A2	NM_000500	6	31973358	32009447
VDAC3	NM_001135694	8	42249278	42263455
RCOR3	NM_001136223	1	211432707	211489725
CD164	NM_006016	6	109687716	109703762
SLC10A3	NM_019848	X	153715649	153719002
NTRK3	NM_001007156	15	88419987	88799962
PSMB7	NM_002799	9	127115743	127177752
PSMD4	NM_002810	1	151227196	151239954
UBE2E3	NM_006357	2	181845111	181928150
RASSF5	NM_182663	1	206680878	206762616
TRPC4AP	NM_015638	20	33590206	33680618
SUN1	NM_001130965	7	855193	914557
FUZ	NM_025129	19	50310123	50316567
MS4A8	NM_031457	11	60467046	60483285
CCDC3	NM_031455	10	12938624	13043704
SELO	NM_031454	22	50639407	50656045
FAM107B	NM_031453	10	14560558	14816896
FAM103A1	NM_031452	15	83654954	83659809
ZMIZ2	NM_031449	7	44788529	44809479
C11orf68	NM_001135635	11	65684282	65686531
DGUOK	NM_080916	2	74153952	74186088
KRTAP6-3	NM_181605	21	31964758	31965374
KRTAP13-4	NM_181600	21	31802593	31803076
HIST2H2AB	NM_175065	1	149859018	149859466
DNAH8	NM_001206927	6	38683116	38998574
ANO10	NM_001204831	3	43407817	43663560
USP17L30	NM_001256867	4	9326890	9366447
EGFLAM	NM_001205301	5	38258510	38465582
TMEM68	NM_152417	8	56651319	56685885
NDUFAF6	NM_152416	8	96037213	96070944
GOT1L1	NM_152413	8	37791799	37797647
ZNF572	NM_152412	8	125985538	125991630
ZNF786	NM_152411	7	148766732	148787869
PACRG	NM_152410	6	163148163	163736524
TMEM155	NM_152399	4	122680084	122686340
C5orf24	NM_001135586	5	134181369	134195425
POC5	NM_001099271	5	74970023	75013313
GRPEL2	NM_152407	5	148724976	148734146
IQCF1	NM_152397	3	51928891	51937386
METTL6	NM_152396	3	15451376	15469042
NUDT16	NM_152395	3	131100514	131107674
JMY	NM_152405	5	78531924	78623038
FAM194A	NM_152394	3	150377674	150421742
EMR1	NM_001974	19	6887559	6940464
WDR38	NM_001276374	9	127615695	127620170
FAM102B	NM_001010883	1	109102970	109181949
PRR23B	NM_001013650	3	138737872	138739768
HIST2H4B	NM_001034077	1	149804220	149832725
MBP	NM_001025100	18	74690788	74844774
TMEM192	NM_001100389	4	165997229	166034024
TOMM40	NM_001128917	19	45394476	45406946
ADAM18	NM_014237	8	39442086	39587583
C6	NM_001115131	5	41142247	41261540
FH	NM_000143	1	241660856	241683085
ZNF510	NM_014930	9	99518146	99540328
ATHL1	NM_025092	11	289137	295688
PAPSS2	NM_001015880	10	89419475	89507462
CLIC3	NM_004669	9	139889059	139891024
MGAM	NM_004668	7	141695678	141806547
RTDR1	NM_014433	22	23401592	23484241
IL20RA	NM_014432	6	137321107	137366298
PALD1	NM_014431	10	72238563	72328206
TAGLN3	NM_013259	3	111717585	111732735
DPPA5	NM_001025290	6	74062784	74063999
C3orf70	NM_001025266	3	184795837	184870802
CXorf65	NM_001025265	X	70323738	70326638
TPD52	NM_001025252	8	80947104	81083836
PALM2	NM_053016	9	112403067	112713756
SUN3	NM_001030019	7	48026745	48068716
TRO	NM_001039705	X	54946995	54957866
DEFB107A	NM_001037668	8	7353367	7673238
GATSL3	NM_001037666	22	30681106	30685616
FITM2	NM_001080472	20	42935196	42939889
RC3H2	NM_001100588	9	125611731	125667562
C5orf49	NM_001089584	5	7830490	7851603
RPS3	NM_001260506	11	75110534	75133345
HPSE	NM_006665	4	84213613	84256306
VGLL4	NM_001128219	3	11597543	11762220
PSIP1	NM_033222	9	15464064	15511003
PPIL6	NM_001111298	6	109711417	109762374
ZNF534	NM_001143939	19	52934666	52942699
TCTN3	NM_015631	10	97423152	97453900
PSMA1	NM_148976	11	14526421	14665180
EMX2	NM_004098	10	119301955	119309057
TDO2	NM_005651	4	156824844	156841558
FMO3	NM_001002294	1	171060017	171086959
EIF2D	NM_006893	1	206764973	206785904
CHIC2	NM_012110	4	54875957	54930815
CD3EAP	NM_012099	19	45909466	45914024
TMEM59L	NM_012109	19	18723681	18731849
KIF5C	NM_004522	2	149632791	149883273
POLR3C	NM_006468	1	145592604	145610884
CENPBD1	NM_145039	16	90036182	90039240
PSG1	NM_006905	19	43370612	43383871
PRKDC	NM_006904	8	48685668	48872743
DPF3	NM_012074	14	73136659	73360809
CCT5	NM_012073	5	10250281	10266501
ADAM33	NM_025220	20	3648619	3662738
ETS1	NM_005238	11	128328655	128457453
SSX4	NM_005636	X	48242967	48271344
SSX1	NM_005635	X	48114796	48126879
SOS1	NM_005633	2	39208689	39347604
XKR8	NM_018053	1	28286503	28294604
ZNF671	NM_024833	19	58231118	58238995
RIN3	NM_024832	14	92980124	93155334
TGS1	NM_024831	8	56685790	56738005
PLBD1	NM_024829	12	14656596	14720791
SMARCAD1	NM_001128429	4	95128758	95212443
UBA5	NM_024818	3	132373289	132396944
AURKC	NM_001015878	19	57742376	57746916
VN1R1	NM_020633	19	57966541	57968107
GFRA1	NM_005264	10	117816441	118033126
CSTA	NM_005213	3	122044010	122060815
CSN3	NM_005212	4	71108332	71117145
CD8A	NM_001145873	2	87011727	87035519
CEBPG	NM_001806	19	33864574	33873592
IGFBP7	NM_001553	4	57897236	57976551
IGFBP4	NM_001552	17	38599675	38613982
CDX1	NM_001804	5	149546343	149564121
GHDC	NM_001142623	17	40341104	40346550
FLJ25363	NM_001145553	3	109128836	109214014
BANF2	NM_178477	20	17674319	17716517
KLHL2	NM_007246	4	166128769	166244308
LRRD1	NM_001161528	7	91774197	91794590
TNIP2	NM_024309	4	2743386	2758103
TSPY4	NM_001164471	Y	9195451	9368285
ITPKB	NM_002221	1	226819390	226926876
ITPKA	NM_002220	15	41786055	41795757
ITIH3	NM_002217	3	52828783	52843025
ADAR	NM_001193495	1	154554533	154600456
ENO3	NM_001976	17	4854383	4860426
NUP214	NM_005085	9	134000980	134109091
SLC1A4	NM_003038	2	65215578	65251000
TCF24	NM_001193502	8	67858735	67874825
CACNA1A	NM_023035	19	13317255	13617274
FAM179B	NM_015091	14	45431415	45543634
ZC3H12C	NM_033390	11	109964086	110042566
SEC14L2	NM_012429	22	30792929	30821291
CASQ1	NM_001231	1	160160284	160171676
GRIK5	NM_002088	19	42502467	42569957
CCNA1	NM_003914	13	37005966	37017019
WISP3	NM_198239	6	112375277	112390887
CFLAR	NM_001202519	2	201980876	202037411
MTRF1	NM_004294	13	41790515	41837713
SRRM3	NM_001110199	7	75831215	75916605
SLC9A4	NM_001011552	2	103089761	103150431
ATP8B2	NM_020452	1	154298035	154323780
PTCHD4	NM_207499	6	47845763	48036425
SIDT1	NM_017699	3	113251217	113348422
PDLIM3	NM_014476	4	186421814	186456712
SLC44A3	NM_001114106	1	95285897	95360803
LRRC24	NM_001024678	8	145747760	145752416
HEY1	NM_001040708	8	80676244	80680098
SDCCAG3	NM_001039707	9	139296373	139305054
UEVLD	NM_001040697	11	18552949	18610293
SNAPC3	NM_001039697	9	15422781	15461627
TRAPPC13	NM_001093755	5	64920557	64961954
LAMTOR3	NM_021970	4	100799494	100815703
VEGFB	NM_003377	11	64002055	64006736
C6orf1	NM_178508	6	34214156	34216904
SLC5A12	NM_178498	11	26688565	26743574
SLCO5A1	NM_030958	8	70584567	70747299
ZHX1-C8ORF76	NM_001204180	8	124238428	124286727
TP53BP2	NM_005426	1	223967594	224033674
CCBP2	NM_001296	3	42850963	42908775
CREB3L2	NM_194071	7	137559724	137686847
RIOK2	NM_018343	5	96496570	96519005
SLC16A4	NM_004696	1	110905472	110933704
ARHGEF1	NM_199002	19	42387266	42411604
SLC16A5	NM_001271765	17	73083821	73102255
PRKRIR	NM_004705	11	76061003	76091880
RRP9	NM_004704	3	51967441	51975957
SLC16A6	NM_001174166	17	66263166	66287405
RABEP1	NM_004703	17	5185557	5289132
ADAMTS6	NM_197941	5	64444562	64777704
RNF135	NM_001184992	17	29297955	29326929
SMCR7	NM_139162	17	18163847	18169095
KIAA1683	NM_001145304	19	18367905	18385319
APBB2	NM_004307	4	40812043	41216635
HMGCS2	NM_005518	1	120290618	120311555
NKRF	NM_001173488	X	118722299	118739846
CDK2AP1	NM_004642	12	123745516	123756687
EIF3K	NM_013234	19	39109721	39127595
STK39	NM_013233	2	168810529	169104105
PDCD6	NM_013232	5	271735	315089
APAF1	NM_181861	12	99039077	99129211
ACAN	NM_013227	15	89346673	89418585
PSEN2	NM_000447	1	227058272	227083804
ZNF281	NM_012482	1	200375419	200379166
YWHAG	NM_012479	7	75956107	75988342
WBP2	NM_012478	17	73841779	73851501
ITGAV	NM_002210	2	187454789	187545629
KMT2A	NM_001197104	11	118307204	118397539
HTR3B	NM_006028	11	113775517	113817283
SRPX	NM_006307	X	38008587	38080177
SMC1A	NM_006306	X	53401069	53449618
VRK2	NM_001130483	2	58273776	58387055
ANP32A	NM_006305	15	69070874	69113261
VARS	NM_006295	6	31745296	31763712
CCR9	NM_001256369	3	45927995	45944667
TRPC3	NM_001130698	4	122800182	122872909
TPT1	NM_003295	13	45911303	45915297
TPSAB1	NM_003294	16	1290677	1292555
RAF1	NM_002880	3	12625099	12705700
PYGB	NM_002862	20	25228705	25278648
AK1	NM_000476	9	130628758	130640022
NR0B1	NM_000475	X	30322538	30327495
PEX1	NM_000466	7	92116336	92157845
WT1	NM_024426	11	32409321	32457081
UGT1A1	NM_000463	2	234668918	234681945
DPP6	NM_001039350	7	153584418	154685995
PHOSPHO1	NM_001143804	17	47300731	47308128
SLC25A11	NM_003562	17	4840425	4843462
PPP2R5D	NM_001270476	6	42952236	42980083
MFAP3L	NM_021647	4	170907747	170947429
PPP2CB	NM_001009552	8	30643125	30670352
SMAD4	NM_005359	18	48556582	48611411
ZNF354A	NM_005649	5	178138521	178157703
DCAF12L2	NM_001013628	X	125297481	125300080
SMAP1	NM_001044305	6	71377478	71571716
MSMP	NM_001044264	9	35752987	35754274
C11orf57	NM_018195	11	111944967	111955874
STRN3	NM_001083893	14	31363004	31495607
DFNB31	NM_015404	9	117164359	117267736
POTEC	NM_001137671	18	14511736	14543599
RGSL1	NM_001137669	1	182419255	182529732
CDH13	NM_001220488	16	82660398	83830215
GLYATL1	NM_001220494	11	58695101	58724543
GIMAP6	NM_001244072	7	150322463	150329736
MAP3K8	NM_005204	10	30722949	30750762
LOC100507462	NM_001242740	6	139046347	139094816
ZNF691	NM_001242739	1	43312243	43318146
LOC100506688	NM_001242737	5	988424	997455
ARHGEF38	NM_001242729	4	106473776	106602070
LOC100289561	NM_001242713	7	102004307	102021080
ZNF385C	NM_001242704	17	40177593	40190044
ERVMER34-1	NM_024534	4	53609683	53617807
ENO4	NM_001242699	10	118609022	118642112
LOC100130357	NM_001242698	6	13279526	13295818
LOC283403	NM_001242696	12	52599364	52604639
MKX	NM_173576	10	27961802	28034778
SLC14A2	NM_007163	18	42792946	43263060
AHCYL1	NM_001242673	1	110527386	110566364
C8orf87	NM_001242668	8	94146323	94179079
C1orf233	NM_001242659	1	1533387	1535476
IL31RA	NM_001242638	5	55147206	55218682
PCGF6	NM_001011663	10	105062552	105110891
INPP1	NM_001128928	2	191208195	191236391
FAM71F2	NM_001012454	7	128312345	128323379
GTF2A1	NM_015859	14	81641795	81687575
FAM118A	NM_001104595	22	45705080	45737836
BCL2L1	NM_138578	20	30252260	30310656
BMP2	NM_001200	20	6748744	6760910
ADAM15	NM_207197	1	155023747	155035252
TMEM169	NM_001142310	2	216946588	216967506
NBPF12	NM_001278141	1	146373856	146467639
FAM210A	NM_001098801	18	13663345	13726591
MAGED4	NM_001272061	X	51804922	51935366
TCF7L2	NM_001198525	10	114710008	114927436
TRIM6	NM_001003818	11	5617330	5634188
DEFB103A	NM_001081551	8	7286490	7740105
PSG11	NM_002785	19	43511808	43530631
HEPH	NM_138737	X	65382432	65487230
PPIP5K1	NM_001130858	15	43825659	43882451
LAMA4	NM_001105206	6	112429133	112575917
HLA-F	NM_001098479	6	29691116	29695073
CBLB	NM_170662	3	105377108	105587887
PIM1	NM_002648	6	37137921	37143204
PPP3CC	NM_001243974	8	22298482	22398657
TAF1C	NM_005679	16	84211452	84220676
PLD2	NM_002663	17	4710395	4726727
LRCH2	NM_020871	X	114345182	114468635
TTLL12	NM_015140	22	43562627	43583137
SLC35D1	NM_015139	1	67465014	67520080
OR5H14	NM_001005514	3	97868229	97869162
HPSE2	NM_001166246	10	100216833	100995632
PEG10	NM_015068	7	94285636	94299006
VDAC2	NM_001184783	10	76969911	76991207
ZCCHC6	NM_024617	9	88902647	88969402
RAB1A	NM_004161	2	65313987	65357435
UPF2	NM_080599	10	11962020	12085169
VILL	NM_015873	3	38035077	38048676
ZNF593	NM_015871	1	26496387	26497364
KIR2DL3	NM_015868	19	55249973	55264504
SLC14A1	NM_001146037	18	43304091	43332485
FAM65B	NM_014722	6	24804512	24911195
C16orf46	NM_001100873	16	81087101	81110872
C8orf47	NM_173549	8	99076749	99105838
ILDR1	NM_001199799	3	121706169	121741127
CALM2	NM_001743	2	47387220	47403740
PAEP	NM_001018049	9	138453603	138458622
PAFAH1B2	NM_002572	11	117014999	117047592
C10orf95	NM_024886	10	104209593	104211300
TAF7L	NM_024885	X	100523240	100548059
CFH	NM_000186	1	196621007	196716634
OR2L2	NM_001004686	1	248201473	248202607
LPHN1	NM_001008701	19	14258548	14316997
PSAPL1	NM_001085382	4	7432020	7436700
CD200R1L	NM_001199215	3	112534555	112564797
UGT2A1	NM_001252274	4	70454134	70518967
EPHX4	NM_173567	1	92495532	92529093
IPO11	NM_001134779	5	61708572	61924416
MAPK8IP3	NM_015133	16	1756220	1820318
HSD17B4	NM_001199291	5	118788137	118878030
PSMD10	NM_002814	X	107327434	107334874
RLN1	NM_006911	9	5334931	5339873
DDX52	NM_007010	17	35972362	36003493
IDH3B	NM_006899	20	2639040	2644865
RWDD3	NM_015485	1	95699710	95712781
RPL39	NM_001000	X	118920466	118925622
ITGB6	NM_000888	2	160958232	161056590
NGFR	NM_002507	17	47572654	47592382
NDUFS8	NM_002496	11	67798083	67804114
LALBA	NM_002289	12	48961466	48963829
NFYA	NM_002505	6	41040706	41070146
NDUFS4	NM_002495	5	52856464	52979171
NFX1	NM_002504	9	33290417	33371155
RABGAP1L	NM_001243765	1	174128551	174964445
RGL3	NM_001161616	19	11504731	11530018
GAGE2E	NM_001127200	X	49188103	49304144
C19orf18	NM_152474	19	58469804	58485902
RNF165	NM_152470	18	43914186	44040783
SESN3	NM_144665	11	94898676	94965705
KLHL10	NM_152467	17	39994042	40004599
PROCA1	NM_152465	17	27030533	27038872
TMEM199	NM_152464	17	26684686	26689089
EME1	NM_001166131	17	48450580	48458820
ZIM2	NM_001146327	19	57285922	57352097
PRG2	NM_002728	11	57154833	57158130
PRB4	NM_002723	12	11460014	11463369
L3MBTL3	NM_032438	6	130339727	130462594
CT47A7	NM_001080140	X	120087136	120090454
CT47A6	NM_001080141	X	120067694	120119638
ANKRD63	NM_001190479	15	40573644	40574787
TMEM41B	NM_015012	11	9302200	9336315
CTNNA2	NM_004389	2	79740059	80875988
HSD3B2	NM_001166120	1	119957553	119965662
LEF1	NM_016269	4	108968700	109090112
ZNF548	NM_001172773	19	57901217	57913919
UHRF2	NM_152896	9	6413150	6507051
NADKD1	NM_001085411	5	36192693	36242258
ATP2C1	NM_001199179	3	130569368	130735555
TCF25	NM_014972	16	89939993	89977792
ARHGAP26	NM_015071	5	142150291	142608572
