Chromosome	Start	End	Gene	Canonical
2	231198630	231376848	ARMC9	NM_001271466
2	230713547	230821075	CAB39	NM_001130849
2	231056866	231172826	PSMD1	NM_002807
2	232520387	232525715	PRSS56	NM_001195129
2	231961712	232337192	DIS3L2	NM_152383
2	232633603	232682776	EFHD1	NM_001308395
2	233681937	233773299	UGT1A7	NM_019077
2	233617644	233773299	UGT1A8	NM_019076
2	232878701	233013256	NGEF	NM_019850
2	233692889	233773300	UGT1A6	NM_001072
2	233354493	233472098	DGKD	NM_152879
2	233060341	233207903	INPP5D	NM_001017915
2	233671897	233773300	UGT1A9	NM_021027
2	233307815	233347055	SAG	NM_000541
2	233636476	233773305	UGT1A10	NM_019075
2	233917372	234019522	TRPM8	NM_024080
2	234965338	235055714	SH3BP4	NM_001371302
2	236324150	236507476	IQCA1	NM_024726
2	237487250	237555322	MLPH	NM_024101
2	237324017	237414164	COL6A3	NM_004369
2	237692204	237765915	LRRFIP1	NM_001137552
2	237859622	237912106	RAMP1	NM_001308353
2	239957371	240025342	NDUFA10	NM_004544
2	240713766	240820219	KIF1A	NM_001379631
2	240906335	240993311	CROCC2	NM_001351305
2	240479421	240561064	ANKMY1	NM_001354023
2	240998617	241095568	SNED1	NM_001080437
2	241558744	241574131	BOK	NM_032515
2	241356284	241494841	FARP2	NM_014808
2	241702038	241729477	ING5	NM_032329
2	241227263	241315842	HDLBP	NM_005336
2	38813	46505	FAM110C	NM_001077710
2	264868	278282	ACP1	NM_007099
2	279557	288091	ALKAL2	NM_001002919
2	663877	677406	TMEM18	NM_001352680
2	3497918	3517747	ADI1	NM_001306077
2	3594831	3644644	COLEC11	NM_001255983
2	3541429	3558333	RNASEH1	NM_001286837
2	3575259	3580920	RPS7	NM_001011
2	5692383	5701385	SOX11	NM_003108
2	6848308	6865819	CMPK2	NM_207315
2	6877776	6898239	RSAD2	NM_080657
2	8682055	8684461	ID2	NM_002166
2	9403475	9423528	ITGB1BP1	NM_001369749
2	9475054	9489727	IAH1	NM_001320858
2	9488485	9555830	ADAM17	NM_001382778
2	9583966	9630997	YWHAQ	NM_006826
2	9843441	9934416	TAF1B	NM_001318976
2	10056798	10080411	CYS1	NM_001037160
2	10043549	10054836	KLF11	NM_003597
2	10122567	10131419	RRM2	NM_001165931
2	10439967	10448012	ODC1	NM_001287189
2	10783390	10832485	PDIA6	NM_001282704
2	10911933	10914225	KCNF1	NM_002236
2	11155371	11178872	SLC66A3	NM_001282710
2	11444374	11466177	E2F6	NM_001278277
2	12716871	12742732	TRIB2	NM_021643
2	14632716	14640041	LRATD1	NM_001369364
2	15940549	15947003	MYCN	NM_001293228
2	17510583	17530414	RAD51AP2	NM_001321233
2	17754137	17788946	GEN1	NM_001130009
2	17816459	17817798	MSGN1	NM_001105569
2	17877846	17932958	KCNS3	NM_001282428
2	18562870	18589569	NT5C1B	NM_001199087
2	18554722	18560653	RDH14	NM_020905
2	18554722	18589580	NT5C1B-RDH14	NM_001199104
2	19351484	19358623	OSR1	NM_145260
2	19896630	19901983	TTC32	NM_001008237
2	20032649	20051628	LAPTM4A	NM_014713
2	19992051	20012668	MATN3	NM_002381
2	20200796	20225433	SDC1	NM_001006946
2	20667143	20679241	GDF7	NM_182828
2	20617817	20651098	HS1BP3	NM_022460
2	21001428	21044073	APOB	NM_000384
2	21123967	21144368	TDRD15	NM_001306137
2	24067585	24076326	SF3B6	NM_016047
2	24049740	24063680	FKBP1B	NM_001322963
2	24077432	24084834	TP53I3	NM_004881
2	24029346	24047391	WDCP	NM_025203
2	24010084	24026775	MFSD2B	NM_001346880
2	24175052	24191698	FAM228A	NM_001040710
2	24793114	24822376	CENPO	NM_024322
2	24789727	24793391	PTRHD1	NM_001013663
2	24943642	24971955	DNAJC27	NM_016544
2	25042075	25159135	EFR3B	NM_014971
2	26180715	26189663	GAREM2	NM_001191033
2	26244747	26290465	HADHB	NM_001281512
2	26401919	26456711	DRC1	NM_145038
2	26346142	26395885	SELENOI	NM_033505
2	26562586	26579524	FAM166C	NM_001322426
2	26692721	26733419	KCNK3	NM_002246
2	26786055	26794587	CENPA	NM_001809
2	26764283	26781231	SLC35F6	NM_017877
2	27070473	27071654	OST4	NM_001134693
2	27100593	27119128	CGREF1	NM_001166239
2	27078614	27086397	EMILIN1	NM_007046
2	27032964	27041694	TMEM214	NM_017727
2	27123814	27130812	ABHD1	NM_032604
2	27051667	27070615	AGBL5	NM_021831
2	27086771	27100762	KHK	NM_000221
2	27217368	27243943	CAD	NM_004341
2	27149003	27156974	TCF23	NM_175769
2	27199586	27212268	SLC5A6	NM_021095
2	27212359	27217182	ATRAID	NM_016085
2	27136848	27139410	PRR30	NM_178553
2	27377235	27380734	ZNF513	NM_144631
2	27275432	27281498	DNAJC5G	NM_173650
2	27364351	27370329	EIF2B4	NM_001318966
2	27325848	27356492	GTF3C2	NM_001318909
2	27309491	27323097	MPV17	NM_002437
2	27307399	27308445	UCN	NM_003353
2	27370495	27377533	SNX17	NM_001267060
2	27282428	27307435	TRIM54	NM_032546
2	27427789	27442257	NRBP1	NM_001321357
2	27491882	27495200	FNDC4	NM_022823
2	27442365	27446481	KRTCAP3	NM_001168364
2	27444376	27489743	IFT172	NM_015662
2	27496838	27523683	GCKR	NM_001486
2	27582968	27623215	ZNF512	NM_001271318
2	27629049	27651511	GPN1	NM_007266
2	27625638	27628878	CCDC121	NM_001142683
2	27576521	27582722	C2orf16	NM_032266
2	27663470	27694980	SLC4A1AP	NM_018158
2	27771718	27779733	MRPL33	NM_004891
2	28392857	28417317	FOSL2	NM_005253
2	28751829	28802940	PPP1CB	NM_002709
2	28849820	28870309	TRMT61B	NM_017910
2	28894666	28948219	WDR43	NM_015131
2	28981297	29052230	TOGARAM2	NM_199280
2	29061694	29074523	PCARE	NM_001029883
2	30147006	30160533	YPEL5	NM_001127401
2	30231533	30260028	LBH	NM_030915
2	31234151	31269451	EHD3	NM_014600
2	31334320	31414742	XDH	NM_000379
2	31522479	31580938	SRD5A2	NM_000348
2	32023891	32039835	DPY30	NM_032574
2	32165863	32224379	SLC30A6	NM_001330479
2	32277903	32316594	YIPF4	NM_032312
2	33583659	33599299	FAM98A	NM_015475
2	36980894	37084372	HEATR5B	NM_019024
2	37167819	37196087	SULT6B1	NM_001032377
2	37099209	37156980	EIF2AK2	NM_001135651
2	37196495	37204743	CEBPZOS	NM_001322373
2	37231657	37249160	NDUFAF7	NM_144736
2	37250502	37324833	PRKD3	NM_005813
2	37641943	37671642	CDC42EP3	NM_006449
2	38067509	38076151	CYP1B1	NM_000104
2	38293953	38377273	ATL2	NM_001330464
2	38561968	38602928	HNRNPLL	NM_138394
2	38743598	38751494	SRSF7	NM_001363802
2	38778209	38785002	GEMIN6	NM_024775
2	38797730	38875934	DHX57	NM_198963
2	38875961	38882709	MORN2	NM_001145450
2	39736059	39779276	THUMPD2	NM_001321478
2	42048020	42058516	PKDCC	NM_138370
2	42767088	42792583	HAAO	NM_012205
2	42762498	42764261	OXER1	NM_148962
2	43222401	43226606	ZFP36L2	NM_006887
2	43675150	43676429	C1GALT1C1L	NM_001101330
2	43838970	43882988	ABCG8	NM_022437
2	43812471	43838839	ABCG5	NM_022436
2	44317608	44360674	PREPL	NM_006036
2	44941701	44946071	SIX3	NM_005413
2	45005181	45009452	SIX2	NM_016932
2	46297406	46386697	EPAS1	NM_001430
2	46542489	46584688	RHOQ	NM_012249
2	46617214	46630176	CRIPT	NM_014171
2	46580936	46617041	PIGF	NM_173074
2	46699294	46763128	SOCS5	NM_144949
2	47160081	47174207	CALM2	NM_001305626
2	47128447	47155308	STPG4	NM_173649
2	47369310	47387020	EPCAM	NM_002354
2	47509289	47570985	KCNK12	NM_022055
2	47783144	47806953	MSH6	NM_000179
2	48530168	48598515	STON1	NM_001198595
2	48686773	48755724	LHCGR	NM_000233
2	53852911	53859967	GPR75	NM_006794
2	53786930	53818819	ERLEC1	NM_001127397
2	53767782	53775196	CHAC2	NM_001346127
2	54253177	54256229	TSPYL6	NM_001003937
2	54330883	54361579	C2orf73	NM_001100396
2	55236619	55269179	MTIF2	NM_001005369
2	55232404	55235853	RPS27A	NM_002954
2	55519594	55545080	CFAP36	NM_001282761
2	55634060	55693844	PNPT1	NM_033109
2	55865966	55923782	EFEMP1	NM_001039348
2	60457193	60553654	BCL11A	NM_022893
2	60756267	60802086	PAPOLG	NM_022894
2	60881573	60931612	REL	NM_002908
2	61017719	61051990	PEX13	NM_002618
2	61145115	61164827	C2orf74	NM_001367070
2	61477848	61538356	XPO1	NM_003400
2	61824847	61854060	FAM161A	NM_001201543
2	61868084	61888656	CCT4	NM_006430
2	62196114	62224731	B3GNT2	NM_006577
2	62500218	62506195	TMEM17	NM_198276
2	63049734	63057831	OTX1	NM_001199770
2	63589150	63607196	MDH1	NM_001199111
2	63840968	63891560	UGP2	NM_001377529
2	64454161	64461379	LGALSL	NM_014181
2	64524327	64593004	AFTPH	NM_001375969
2	64631620	64653913	SERTAD2	NM_014755
2	65056415	65087004	CEP68	NM_015147
2	65086853	65130106	RAB1A	NM_004161
2	65227694	65271256	ACTR2	NM_001005386
2	67397332	67412089	ETAA1	NM_019002
2	68041129	68063004	C1D	NM_001190265
2	68157887	68176238	PNO1	NM_020143
2	68178856	68252532	PPP3R1	NM_000945
2	68365281	68397453	PLEK	NM_002664
2	68459421	68467294	FBXO48	NM_001024680
2	68643578	68658249	PROKR1	NM_138964
2	68860908	68871397	BMP10	NM_014482
2	68945231	68952893	GKN2	NM_182536
2	68974635	68980976	GKN1	NM_019617
2	69396125	69439567	NFU1	NM_001374284
2	69960090	69962265	ASPRV1	NM_152792
2	69915040	69942944	MXD1	NM_001202514
2	69893955	69905236	SNRNP27	NM_006857
2	70087476	70089202	PCBP1	NM_006196
2	70149879	70190711	C2orf42	NM_001348758
2	70209443	70248628	TIA1	NM_001351517
2	70281361	70293458	SNRPG	NM_001317168
2	70295975	70302067	FAM136A	NM_001329755
2	70258136	70281185	PCYOX1	NM_016297
2	70656783	70768200	ADD2	NM_017488
2	70830210	70835816	CD207	NM_015717
2	70808644	70820599	CLEC4F	NM_173535
2	70978629	70985499	ANKRD53	NM_024933
2	70935899	70965431	ATP6V1B1	NM_001692
2	70985941	70994873	TEX261	NM_144582
2	71068647	71079808	NAGK	NM_001365466
2	71109686	71130229	MCEE	NM_032601
2	71130633	71150101	MPHOSPH10	NM_005791
2	71182737	71227103	PAIP2B	NM_020459
2	72129237	72147862	CYP26B1	NM_019885
2	72917518	72934891	EMX1	NM_004097
2	72887407	72892158	SPR	NM_003124
2	73073381	73112948	RAB11FIP5	NM_001371272
2	73234235	73253022	CCT7	NM_001166285
2	73202573	73212513	NOTO	NM_001134462
2	73228009	73233239	PRADC1	NM_032319
2	73214244	73227221	SMYD5	NM_006062
2	73290928	73293548	EGR4	NM_001965
2	73640722	73642422	NAT8	NM_003960
2	73729836	73737406	TPRKB	NM_001330390
2	73762197	73780157	DUSP11	NM_003584
2	73700508	73701340	NAT8B	NM_016347
2	73828966	73867168	STAMBP	NM_001353976
2	73893007	73919864	ACTG2	NM_001615
2	73926879	73958946	DGUOK	NM_080916
2	74135399	74147912	BOLA3	NM_212552
2	74152527	74178879	MOB1A	NM_018221
2	74198614	74217565	MTHFD2	NM_006636
2	74421729	74425755	WDR54	NM_001320824
2	74361154	74380311	DCTN1	NM_004082
2	74414175	74417717	C2orf81	NM_001145054
2	74425860	74440583	RTKN	NM_033046
2	74489011	74494559	TTC31	NM_001376140
2	74554159	74557551	DOK1	NM_001318867
2	74461056	74465382	MOGS	NM_006302
2	74497516	74503316	LBX2	NM_001009812
2	74455086	74457944	INO80B	NM_031288
2	74526651	74529706	AUP1	NM_181575
2	74514449	74517148	TLX2	NM_016170
2	74458437	74460881	WBP1	NM_012477
2	74532258	74553942	LOXL3	NM_032603
2	74529404	74533556	HTRA2	NM_001321727
2	74472831	74482998	CCDC142	NM_001365575
2	74505042	74507695	PCGF1	NM_032673
2	74471981	74472680	MRPL53	NM_053050
2	74518130	74526231	DQX1	NM_133637
2	74654246	74683841	SEMA4F	NM_004263
2	74958642	74970128	POLE4	NM_019896
2	75662705	75710915	GCFC2	NM_001201334
2	75646782	75662206	MRPL19	NM_014763
2	79025701	79028501	REG3G	NM_001008387
2	79120487	79123409	REG1A	NM_002909
2	79157005	79159753	REG3A	NM_138938
2	79085022	79087993	REG1B	NM_006507
2	80301877	80304752	LRRTM1	NM_178839
2	84423527	84459280	SUCLG1	NM_003849
2	84835918	84881084	TRABD2A	NM_001307978
2	84905655	84906671	TMSB10	NM_021103
2	84971160	85059472	KCMF1	NM_020122
2	85394747	85410697	CAPG	NM_001256140
2	85354768	85391748	ELMOD3	NM_001329791
2	85418930	85437031	SH2D6	NM_201594
2	85341954	85354528	RETSAT	NM_017750
2	85544719	85561493	GGCX	NM_000821
2	85577585	85582031	VAMP8	NM_003761
2	85539167	85545281	MAT2A	NM_005911
2	85598546	85602394	TMEM150A	NM_001369917
2	85616185	85649283	USP39	NM_006590
2	85657313	85668199	SFTPB	NM_000542
2	85595744	85597708	RNF181	NM_016494
2	85694357	85698852	GNLY	NM_012483
2	85605253	85612066	C2orf68	NM_001013649
2	85753990	85791383	ATOH8	NM_032827
2	86020215	86105886	POLR1A	NM_015425
2	86199456	86213790	MRPL35	NM_016622
2	86143931	86195770	IMMT	NM_001100169
2	86441370	86492716	KDM3A	NM_018433
2	86603397	86623865	RNF103	NM_005667
2	86838171	86861886	CD8B	NM_004931
2	86784604	86808396	CD8A	NM_001145873
2	87748092	87759716	PLGLB1	NM_001032392
2	87748086	87759475	PLGLB2	NM_002665
2	88027204	88055783	KRCC1	NM_016618
2	88122988	88128062	FABP1	NM_001443
2	88170345	88186627	THNSL2	NM_001384383
2	88446786	88452693	FOXI3	NM_001135649
2	88524648	88529585	TEX37	NM_152670
2	94587310	94604628	LOC100509620	NM_001382497
2	94871429	94876823	TEKT4	NM_001286559
2	95085390	95121557	MRPS5	NM_001321995
2	95165808	95184316	ZNF2	NM_001291605
2	95402707	95416616	FAHD2A	NM_016044
2	95346657	95386077	KCNIP3	NM_001034914
2	95476966	95484731	TRIM43B	NM_001164464
2	95592000	95599776	TRIM43	NM_138800
2	96021945	96035245	GPAT2	NM_001321526
2	96112875	96116571	ADRA2B	NM_000682
2	96123849	96138436	ASTL	NM_001002036
2	96143168	96145440	DUSP2	NM_004418
2	96274337	96305546	SNRNP200	NM_014014
2	96248513	96265997	TMEM127	NM_017849
2	96326214	96330507	ITPRIPL1	NM_178495
2	96266224	96274162	CIAO1	NM_004804
2	96497645	96505357	NEURL3	NM_001285486
2	96537878	96552638	ARID5A	NM_001319092
2	96642763	96704883	FER1L5	NM_001293083
2	96816267	96835382	CNNM3	NM_017623
2	96847989	96858016	ANKRD39	NM_016466
2	96760901	96811873	CNNM4	NM_020184
2	96837911	96844021	ANKRD23	NM_144994
2	96875884	96986580	FAM178B	NM_001122646
2	97083582	97094882	FAHD2B	NM_001320848
2	97646061	97648383	COX5B	NM_001862
2	97733299	97739860	ZAP70	NM_207519
2	97655938	97664044	ACTR1B	NM_005735
2	97669742	97703066	C2orf92	NM_001351368
2	98346455	98398601	CNGA3	NM_001298
2	98599314	98608512	COA5	NM_001008215
2	98608547	98618514	UNC50	NM_001330354
2	99169262	99181058	MITD1	NM_001320417
2	99181183	99199561	MRPL30	NM_145212
2	99155073	99163150	LIPT1	NM_001204830
2	99141706	99151669	C2orf15	NM_001317992
2	99318984	99336333	TXNDC9	NM_005783
2	99284237	99304775	LYG1	NM_001371380
2	99242247	99255107	LYG2	NM_175735
2	100271874	100322501	LONRF2	NM_001371783
2	100470481	100483280	NMS	NM_001011717
2	100562992	100576739	PDCL3	NM_024065
2	101002288	101007267	RPL31	NM_000993
2	101275600	101308701	RNF149	NM_173647
2	101252885	101270316	CNOT11	NM_017546
2	101345549	101387503	CREG2	NM_153836
2	101991959	102028544	IL1R2	NM_004633
2	102337256	102346100	IL1RL1	NM_003856
2	102418789	102452564	IL18RAP	NM_003853
2	102714625	102736888	MFSD9	NM_001322080
2	105038068	105099960	MRPS9	NM_182640
2	105241742	105243467	GPR45	NM_007227
2	105337539	105349211	C2orf49	NM_024093
2	106065687	106078153	ECRG4	NM_032411
2	106487363	106511095	CD8B2	NM_001349727
2	108239967	108260886	SULT1C3	NM_001320878
2	108377953	108388989	SULT1C4	NM_006588
2	108288894	108309915	SULT1C2	NM_176825
2	108449205	108509415	GCC2	NM_181453
2	108719481	108785809	RANBP2	NM_006267
2	109614363	109618990	SOWAHC	NM_023016
2	109898690	109925625	LIMS4	NM_001371340
2	109898687	109906456	LIMS3	NM_033514
2	110123347	110205013	NPHP1	NM_000272
2	110211528	110212547	MTLN	NM_001384134
2	110637527	110678063	BUB1	NM_004336
2	112138384	112188218	FBLN7	NM_153214
2	112211529	112255042	ZC3H8	NM_032494
2	112542464	112579818	POLR1B	NM_001371970
2	112584853	112589040	CHCHD5	NM_001304354
2	112482155	112541739	TTL	NM_153712
2	112645938	112663823	SLC20A1	NM_005415
2	112736350	112764609	CKAP2L	NM_152515
2	112829755	112836779	IL1B	NM_000576
2	112773925	112784400	IL1A	NM_001371554
2	112911164	112918881	IL37	NM_014439
2	113058637	113064743	IL36RN	NM_173170
2	113022088	113052867	IL36B	NM_014438
2	113072317	113075842	IL1F10	NM_032556
2	113005458	113008044	IL36A	NM_014440
2	113117970	113134014	IL1RN	NM_001318914
2	113173970	113209391	PSD4	NM_012455
2	113499083	113501150	FOXD4L1	NM_012184
2	113437690	113496204	CBWD2	NM_001330340
2	113706708	113756642	SLC35F5	NM_001330314
2	117814690	117832377	DDX18	NM_006773
2	118842170	118847648	EN1	NM_001426
2	118942193	118994660	MARCO	NM_006770
2	119156242	119158751	C1QL2	NM_182528
2	119223833	119265651	STEAP3	NM_182915
2	119367047	119372560	DBI	NM_001352432
2	119302216	119366742	C2orf76	NM_001017927
2	119439842	119524483	SCTR	NM_002980
2	119431853	119438504	TMEM37	NM_183240
2	119544448	119656661	CFAP221	NM_001271049
2	119679166	119682118	TMEM177	NM_001105198
2	120252851	120294710	RALB	NM_001369400
2	120217478	120223400	TMEM185B	NM_024121
2	120346135	120351803	INHBB	NM_002193
2	121726944	121736875	NIFK	NM_032390
2	126655934	126696675	GYPC	NM_001256584
2	126898889	126902097	TEX51	NM_001322244
2	127048022	127084550	BIN1	NM_001320642
2	127183833	127220299	CYP27C1	NM_001367502
2	127298667	127387975	MAP3K2	NM_001371910
2	127419696	127429242	PROC	NM_001375613
2	127480811	127526489	IWS1	NM_017969
2	127535801	127637728	MYO7B	NM_001080527
2	127645863	127652639	GPR17	NM_001161415
2	127701496	127705242	SFT2D3	NM_032740
2	127861630	127885956	AMMECR1L	NM_001199140
2	127843552	127858155	POLR2D	NM_004805
2	127941216	128027295	SAP130	NM_001145928
2	128265479	128318868	HS6ST1	NM_004807
2	129979665	129982738	RAB6C	NM_032144
2	130073534	130129222	POTEF	NM_001099771
2	130139286	130145112	CCDC74B	NM_207310
2	130182261	130190727	MZT2B	NM_001330282
2	130191744	130198439	TUBA3E	NM_207312
2	130342896	130347966	IMP4	NM_001320309
2	130337932	130342681	CCDC115	NM_001321118
2	130356055	130375405	PTPN18	NM_014369
2	130459454	130509707	POTEI	NM_001371926
2	130521221	130528603	CFC1B	NM_001079530
2	130592164	130599575	CFC1	NM_032545
2	130611439	130658037	POTEJ	NM_001277083
2	130755539	130768134	AMER3	NM_001105193
2	130729069	130730336	GPR148	NM_207364
2	131104846	131149852	PLEKHB2	NM_001309452
2	131209535	131265272	POTEE	NM_001083538
2	131360491	131364168	RAB6D	NM_001077637
2	131476118	131482934	TUBA3D	NM_080386
2	131527887	131533666	CCDC74A	NM_001349042
2	131483959	131492397	MZT2A	NM_001085365
2	132147590	132161952	ANKRD30BL	NM_001358416
2	132304791	132322749	ZNF806	NM_001355461
2	134918821	134959341	CCNT2	NM_001320748
2	135741854	135785056	UBXN4	NM_014607
2	135839625	135876443	MCM6	NM_005915
2	136114348	136117869	CXCR4	NM_001348060
2	137964472	138016364	HNMT	NM_006895
2	149569636	149587775	MMADHC	NM_015702
2	151357591	151380046	TNFAIP6	NM_007115
2	151270469	151289668	NMI	NM_004688
2	151409901	151482171	RIF1	NM_001177665
2	151798796	151828421	ARL5A	NM_012097
2	152718948	152762385	ARL6IP6	NM_001350068
2	153477337	153478762	RPRM	NM_019845
2	156324436	156332721	NR4A2	NM_006186
2	157318630	157327712	ERMN	NM_001009959
2	158795316	158815990	DAPL1	NM_001017920
2	159712505	159771027	MARCHF7	NM_001282805
2	159803355	159904756	LY75	NM_002349
2	161416296	161425870	TBR1	NM_006593
2	162142881	162152247	GCG	NM_002054
2	162170683	162243445	FAP	NM_004460
2	162318762	162363108	GCA	NM_001330266
2	164898198	164955525	SLC38A11	NM_001351538
2	165747587	165794247	GALNT3	NM_004482
2	168901290	168910000	G6PC2	NM_021176
2	168870890	168890430	SPC25	NM_020675
2	169528507	169573921	FASTKD1	NM_001322046
2	169479493	169506655	BBS5	NM_152384
2	169509701	169526257	KLHL41	NM_006063
2	169694453	169701708	PHOSPHO2	NM_001199286
2	169645424	169694405	CCDC173	NM_001085447
2	169799301	169812061	SSB	NM_001294145
2	169811757	169824905	METTL5	NM_014168
2	170715336	170718078	SP5	NM_001003845
2	170816886	170861149	GAD1	NM_000817
2	170929252	170967130	GORASP2	NM_015530
2	171315745	171433990	METTL8	NM_001321156
2	171522473	171558129	CYBRD1	NM_024843
2	171999952	172082429	METAP1D	NM_001322278
2	172085506	172089673	DLX1	NM_178120
2	172099437	172102900	DLX2	NM_004405
2	172556089	172608669	PDK1	NM_001278549
2	173354871	173368993	CDCA7	NM_031942
2	174395729	174429575	SCRN3	NM_024583
2	174334953	174338500	SP9	NM_001145250
2	174348021	174395712	CIR1	NM_004882
2	174747594	174764472	CHRNA1	NM_001039523
2	175176257	175181710	ATP5MC3	NM_001190329
2	175923891	176002345	LNPK	NM_001305009
2	176129704	176132695	HOXD8	NM_019558
2	176099794	176102489	HOXD12	NM_021193
2	176107279	176109754	HOXD11	NM_021192
2	176080106	176083962	EVX2	NM_001080458
2	176151549	176153226	HOXD4	NM_014621
2	176122718	176124936	HOXD9	NM_014213
2	176116777	176119937	HOXD10	NM_002148
2	176092720	176095944	HOXD13	NM_000523
2	176188667	176190907	HOXD1	NM_024501
2	177230302	177264131	NFE2L2	NM_001145412
2	177212693	177223959	HNRNPA3	NM_194247
2	177548998	177552796	TTC30B	NM_152517
2	177612999	177618742	TTC30A	NM_152275
2	178451377	178462102	PJVK	NM_001042702
2	178431413	178450757	PRKRA	NM_001139517
2	178463663	178478600	FKBP7	NM_181342
2	178480456	178516463	PLEKHA3	NM_019091
2	181536673	181657107	CERKL	NM_001030311
2	181676466	181680517	NEUROD1	NM_002500
2	182716256	182794463	DNAJC10	NM_018981
2	183078746	183099994	DUSP19	NM_080876
2	183124354	183161684	NUP35	NM_001287585
2	185738803	185833290	FSIP2	NM_173651
2	186486259	186509360	ZC3H15	NM_018471
2	186694059	186765959	FAM171B	NM_177454
2	186827474	186849170	ZSWIM2	NM_182521
2	187464230	187554435	TFPI	NM_001329239
2	189441432	189475562	WDR75	NM_001303096
2	189560589	189580786	SLC40A1	NM_014585
2	189746659	189762792	OSGEPL1	NM_001376082
2	189763858	189784339	ORMDL1	NM_001371386
2	189674669	189746646	ANKAR	NM_001378068
2	189661398	189666401	ASDURF	NM_001353494
2	189661398	189670831	ASNSD1	NM_001353497
2	190055699	190062729	MSTN	NM_005259
2	190343588	190371665	INPP1	NM_001128928
2	190504337	190534722	NEMP2	NM_001142645
2	190649082	190692766	NAB1	NM_005966
2	190880820	190965544	GLS	NM_014905
2	191678135	191690667	NABP1	NM_001031716
2	191834309	191847088	CAVIN2	NM_004657
2	196133582	196171578	STK17B	NM_004226
2	196639714	196732801	CCDC150	NM_001080539
2	196763034	196799683	GTF3C3	NM_012086
2	196804416	196809355	C2orf66	NM_213608
2	197453763	197475309	COQ10B	NM_001320820
2	197500378	197503449	HSPE1	NM_002157
2	197486583	197500274	HSPD1	NM_199440
2	197726889	197785319	BOLL	NM_001284361
2	197705368	197708395	MARS2	NM_138395
2	199809271	199851173	FTCDNL1	NM_001363886
2	199928912	199955491	TYW5	NM_001039693
2	199955316	199964117	MAIP1	NM_024520
2	199911292	199928273	C2orf69	NM_153689
2	200488960	200510068	KCTD18	NM_152387
2	200812385	200827336	BZW1	NM_001207068
2	200853008	200864561	CLK1	NM_001162407
2	200889384	200903932	NIF3L1	NM_001369442
2	200870906	200889077	PPIL3	NM_032472
2	201116163	201176687	CFLAR	NM_003879
2	201072000	201085750	NDUFB3	NM_001257102
2	201258034	201287709	CASP8	NM_001080125
2	201377206	201451458	TRAK2	NM_015049
2	201620185	201643503	TMEM237	NM_001044385
2	201644873	201698644	MPP4	NM_033066
2	202034586	202038437	FZD7	NM_003507
2	202206170	202238597	SUMO1	NM_001371394
2	202265762	202303661	NOP58	NM_015934
2	202773149	202871472	ICA1L	NM_001288623
2	202912274	202988263	CARF	NM_024744
2	203433681	203535301	RAPH1	NM_213589
2	203706638	203738912	CD28	NM_006139
2	203867770	203873965	CTLA4	NM_005214
2	206159593	206162929	EEF1B2	NM_001037663
2	206114816	206159444	NDUFS1	NM_005006
2	206642486	206649365	FAM237A	NM_001102659
2	206765387	206796187	FASTKD2	NM_001136194
2	206737764	206765328	MDH1B	NM_001039845
2	207529961	207605988	CREB1	NM_134442
2	207762600	207769906	FZD5	NM_003468
2	208128136	208129828	CRYGC	NM_020989
2	208121606	208124524	CRYGD	NM_006891
2	208236226	208254303	IDH1	NM_001282387
2	208165346	208190030	C2orf80	NM_001099334
2	208160739	208163589	CRYGA	NM_014617
2	208142572	208146158	CRYGB	NM_005210
2	210002564	210022260	RPE	NM_001318927
2	210187922	210225447	ACADL	NM_001608
2	210290149	210315174	MYL1	NM_079420
2	210431250	210476759	LANCL1	NM_006055
2	214725645	214809683	BARD1	NM_000465
2	215312058	215349764	ATIC	NM_004044
2	215360864	215436068	FN1	NM_212482
2	216081865	216102783	TMEM169	NM_001142310
2	216038387	216081809	PECR	NM_018441
2	216412483	216483051	SMARCAL1	NM_014140
2	216498843	216504086	RPL37A	NM_000998
2	216672104	216695549	IGFBP5	NM_000599
2	216859458	216860064	TNP1	NM_003284
2	218069014	218090581	RUFY4	NM_198483
2	218126027	218137251	CXCR2	NM_001557
2	218162840	218166962	CXCR1	NM_000634
2	218270518	218346793	PNKD	NM_015488
2	218274191	218286849	TMBIM1	NM_001321427
2	218264128	218270137	AAMP	NM_001302545
2	218261014	218263861	GPBAR1	NM_001077191
2	218399867	218405941	CTDSP1	NM_021198
2	218382272	218396894	SLC11A1	NM_000578
2	218419122	218453295	VIL1	NM_007127
2	218568838	218597076	CNOT9	NM_001271634
2	218672085	218702715	STK36	NM_015690
2	218633328	218659623	ZNF142	NM_001366290
2	218659682	218663443	BCS1L	NM_001374085
2	218710834	218755415	TTLL4	NM_014640
2	218663891	218672002	RNF25	NM_022453
2	218782146	218815293	CYP27A1	NM_000784
2	218859804	218874233	WNT6	NM_006522
2	218822380	218831803	PRKAG3	NM_017431
2	218990189	218993422	CRYBA2	NM_057093
2	218959665	218962155	CDK5R2	NM_003936
2	218981086	218985184	FEV	NM_017521
2	219054423	219060921	IHH	NM_002181
2	219245478	219250337	STK16	NM_001330213
2	219206781	219209648	ZFAND2B	NM_138802
2	219249710	219254608	TUBA4A	NM_001278552
2	219209771	219218958	ABCB6	NM_005689
2	219253242	219272197	TUBA4B	NM_001355221
2	219178274	219185475	RETREG2	NM_024293
2	219229805	219236679	ANKZF1	NM_001042410
2	219236597	219245444	GLB1L	NM_001286423
