Gene	Chromosome	Start	End	Canonical
SSX2	X	52697987	52760444	NM_003147
SSX5	X	48187630	48195358	NM_021015
HIST4H4	12	14770772	14771084	NM_175054
POTED	21	13610228	13641566	NM_174981
CR1L	1	207645233	207723685	NM_175710
TPO	2	1414408	1542474	NM_000547
SPHAR	1	229305134	229305326	NM_006542
FZD3	8	28503013	28563011	NM_017412
BUB1B	15	40161220	40220759	NM_001211
HPF1	4	169729577	169757877	NM_017867
KLF12	13	73695489	73995022	NM_007249
URB2	1	229627633	229659297	NM_001314021
PLIN3	19	4839191	4861394	NM_005817
GPR75-ASB3	2	53670502	53859928	NM_001164165
KRT12	17	10928	40867186	NM_000223
PPP2R3A	3	136001498	136145166	NM_002718
PLEKHN1	1	966531	974575	NM_032129
C1orf198	1	230839851	230868512	NM_001136494
ERCC2	19	45351628	45370540	NM_000400
ALDH8A1	6	134918414	134950053	NM_022568
NYX	X	41447889	41474899	NM_022567
MTMR14	3	9649583	9701973	NM_001077525
CCL4L2	17	58002	36212569	NM_001291470
PDCL	9	122820084	122826787	NM_005388
GFI1	1	92476028	92483487	NM_005263
KRTAP3-1	17_JH159146v1_alt	158172	41009074	NM_031958
ANAPC2	9	137174941	137188532	NM_013366
CETP	16	56961979	56983666	NM_000078
NEU4	2_KI270776v1_alt	23526	241817048	NM_001167602
PYGL	14	50905391	50944403	NM_002863
ABCB5	7	20623285	20755624	NM_001163941
CDHR5	11_KI270832v1_alt	147249	624902	NM_021924
RBFA	18	80034495	80046155	NM_024805
FNDC5	1	32863737	32870746	NM_001171941
EQTN	9	27284722	27297055	NM_020641
CSF2RA	X	1282703	1309589	NM_001161529
CASS4	20	56412458	56458747	NM_001164116
BTN3A1	6	26405563	26413692	NM_001145009
TRIL	7	28955610	28958046	NM_014817
COLGALT2	1	183930228	184037357	NM_015101
MAP10	1	232805023	232808167	NM_019090
PDHA2	4	95840150	95841317	NM_005390
PRKCE	2	45652100	46184881	NM_005400
NUP98	11	3676158	3782117	NM_016320
ITPK1	14	53044	93115163	NM_014216
PFKFB1	X	54933402	54998433	NM_002625
PPIE	1	39738900	39763742	NM_006112
COPS3	17	17247097	17281186	NM_001316354
FAHD2A	2	95405558	95412957	NM_016044
C14orf166	14	51989639	52004516	NM_016039
CHD9	16	53156089	53324895	NM_001308319
PARN	16_KI270853v1_alt	9573	14630125	NM_002582
NREP	5	111730920	111976739	NM_001142483
UBTFL1	11	90085949	90087131	NM_001143975
VBP1	X	155208903	155238842	NM_001303543
TAP1	6_GL000256v2_alt	4039866	32853816	NM_000593
NOS3	7	150993803	151014169	NM_000603
ABCA13	7	48171483	48645512	NM_152701
CACNA1G	17	50561459	50626751	NM_018896
WWP2	16	69787010	69939940	NM_007014
RAPGEF1	9	131579496	131739830	NM_198679
SEC24A	5	134649076	134725094	NM_021982
FCRLB	1	161722672	161727662	NM_001002901
CREB3L4	1	153968525	153974065	NM_130898
SOX5	12	23534218	23950876	NM_152989
FYN	6	111661738	111720051	NM_002037
HAUS7	X	153447877	153470587	NM_017518
TNFRSF11A	18	62325352	62385034	NM_003839
KDM5C	X	53192743	53224889	NM_004187
SH3BP5L	1	248811899	248824935	NM_001322462
TPP1	11	6614545	6619400	NM_000391
ZBTB17	1	15941968	15948495	NM_001287603
MUS81	11	65860753	65866052	NM_001350283
DCDC1	11	30878583	31328280	NM_001350255
NEFM	8	24913793	24918606	NM_005382
OR2H1	6_GL000255v2_alt	726894	29462720	NM_001318014
FMN2	1	240092109	240474154	NM_001305424
PBRM1	3	52548062	52681742	NM_001350077
MEGF10	5	127331308	127457318	NM_032446
MAP1LC3A	20	34549977	34559898	NM_032514
EXO1	1	241850425	241889600	NM_130398
BECN2	1	241957766	241959062	NM_001290693
KRTAP25-1	21	30289181	30289490	NM_001128598
SEC14L1	17	77143596	77216564	NM_001204410
VNN2	6	132744299	132757883	NM_004665
HMBOX1	8	28963867	29051155	NM_001324393
CAMLG	5	134738620	134750950	NM_001745
NDUFA2	5	140645586	140647583	NM_001185012
CYP2J2	1	59893650	59926746	NM_000775
MYO18A	17	29074769	29166940	NM_001346765
C1orf100	1	244364700	244389069	NM_001012970
PHF20L1	8	132777828	132845923	NM_016018
ZCCHC7	9	37126332	37357268	NM_001289121
BIVM	13	102807267	102839865	NM_017693
FAM213B	1_KI270762v1_alt	137985	2589427	NM_001195736
MID1IP1	X	38804946	38805498	NM_021242
FOXM1	12	2858637	2874478	NM_202002
POMZP3	7	97047	76626064	NM_012230
KLF13	15	3613036	31435635	NM_015995
CAPZB	1	19339529	19485438	NM_001206541
ZFP57	6	937613	29677003	NM_001109809
SLC27A3	1	91814	153780002	NM_024330
EFCAB2	1	244970418	245121948	NM_001143943
ABCA12	2	214932633	215138208	NM_173076
TP53I3	2	24077578	24084326	NM_004881
TAF10	11	6610921	6612189	NM_006284
STK4	20	44966568	45075176	NM_006282
CCL7	17	34270290	34271802	NM_006273
DPF2	11	65333886	65351759	NM_001330308
RAD21	8	116847499	116866729	NM_006265
PROP1	5	127554	177995933	NM_006261
PRKG2	4	81089707	81205047	NM_006259
MAGED2	X	54809331	54815682	NM_177433
UBAC2	13	99200908	99385335	NM_001144072
FASTKD3	5	7859434	7868083	NM_024091
PEX5	12	7189933	7210223	NM_001131025
VN1R5	1	247256071	247257145	NM_173858
HOXA9	7	27163602	27165457	NM_152739
OR2B11	1	247451028	247451982	NM_001004492
OR2W5	1	247491127	247492090	NM_001004698
GCSAML	1	247549191	247574382	NM_001281834
OR2C3	1	247531548	247532511	NM_198074
OR2G2	1	247588359	247589313	NM_001001915
OR13G1	1	247672117	247673041	NM_001005487
OR6F1	1	247711828	247712755	NM_001005286
OR1C1	1	247757461	247758406	NM_012353
OR11L1	1	247840927	247841896	NM_001001959
LASP1	17	38870189	38918778	NM_006148
OR2T8	1	247921017	247921956	NM_001005522
OR2AK2	1	247965331	247966339	NM_001004491
OR2L5	1	248021947	248022886	NM_001258284
OR2L2	1	248038267	248039206	NM_001004686
OR2L3	1	248060681	248061620	NM_001004687
PRNP	20	4699220	4699982	NM_000311
OR2M2	1	248179985	248181029	NM_001004688
OR2M3	1	248203067	248204006	NM_001004689
OR2T33	1	248272851	248273814	NM_001004695
OR2T12	1	248294615	248295578	NM_001004692
OR2M7	1	248323629	248324568	NM_001004691
OR14C36	1	248348774	248349713	NM_001001918
OR2T4	1	9554	248362627	NM_001004696
OR2T6	1	35922	248388535	NM_001005471
ANKRD35	1	145867329	145885758	NM_144698
OR2T2	1	103215	248453772	NM_001004136
OR2T3	1	123768	248474307	NM_001005495
OR2T5	1	139006	248489536	NM_001004697
OR2T29	1	248558543	248559491	NM_001004694
OR2T34	1	248573800	248574757	NM_001001821
OR2T10	1	248592829	248593768	NM_001004693
OR2T35	1	248638286	248639258	NM_001001827
OR2T27	1	248649930	248650884	NM_001001824
OR14I1	1	248681368	248682304	NM_001004734
LYPD8	1	248739610	248751081	NM_001085474
SNF8	17	48930474	48944734	NM_001317194
CXXC5	5	139680523	139682907	NM_001317199
ZNF552	19	57808039	57814743	NM_024762
ADK	10	74151278	74708445	NM_001123
SOBP	6	107490616	107635466	NM_018013
HERC6	4	88378921	88442460	NM_017912
TUBB8	10	47056	49238	NM_177987
MAP2K3	17	21284920	21314230	NM_001316332
FAM169B	15	98439630	98485897	NM_182562
TMPRSS12	12	50842964	50887513	NM_182559
CXorf58	X	23910302	23939303	NM_152761
RICTOR	5	38942303	39074377	NM_001285439
C22orf15	22	23763306	23765754	NM_001331041
DIP2C	10	277324	689578	NM_014974
STAU2	8	73421371	73738301	NM_001164384
GPR160	3	170083972	170084989	NM_014373
KRT75	12	52424516	52434304	NM_004693
IDI2	10	1019516	1024723	NM_033261
IDI1	10	1041186	1049003	NM_001317956
AFF1	4	86948533	87135701	NM_001313959
TIMM10	11	57528716	57530189	NM_012456
TIAM2	6	155129223	155257121	NM_012454
CD274	9	5456113	5467862	NM_014143
TMPRSS4	11	118077302	118117913	NM_001290094
MAP2K7	19	7903944	7912431	NM_001297555
LAIR2	19_GL949752v1_alt	407633	54510569	NM_002288
KPNA4	3	160502103	160565282	NM_002268
TCF12	15	56919913	57282587	NM_001322156
CCDC74B	2	130139554	130144996	NM_207310
PLEKHA5	12	19129799	19369787	NM_001143821
ABI1	10	26748569	26860863	NM_005470
HCN4	15	73322480	73368270	NM_005477
CSDC2	22	41571965	41574895	NM_014460
PGAP2	11	3797843	3825458	NM_001346401
TBC1D22A	22	46762786	47173626	NM_001284304
SPCS3	4	176320076	176328330	NM_021928
XPNPEP3	22	40857181	40926435	NM_022098
ZNF567	19	36694867	36720668	NM_001322914
RPL12	9	127447720	127451317	NM_000976
PPP1R3B	8	9140793	9141651	NM_001201329
NSMF	9	137449393	137459102	NM_001130969
FAU	11	65120680	65121813	NM_001997
ZFP69B	1	40450961	40463589	NM_023070
FAM208B	10	5720642	5763032	NM_001321784
NKAIN2	6	123804200	124823229	NM_001300737
HAUS4	14	22946524	22955154	NM_001166269
PFDN6	6	4484280	33290845	NM_001185181
MORF4L1	15	78873017	78897067	NM_206839
CTPS2	X	16590792	16702902	NM_001144002
SMOX	20	4175055	4187407	NM_001270691
AAED1	9	96641758	96655281	NM_153698
TULP4	6	158314016	158506694	NM_020245
PPAN	19	10106394	10111165	NM_001346141
PRDM9	5	23509033	23527773	NM_020227
ZNF285	19	44386471	44397213	NM_001291490
SEC24B	4	109433869	109539675	NM_001300813
DHX9	1	182842566	182887434	NM_001357
ALDH7A1	5	126544964	126595198	NM_001182
CMPK2	2	6840569	6865696	NM_207315
THBS3	1	155195840	155207876	NM_007112
RPL26L1	5	172959873	172969541	NM_001317980
SCGB2A1	11	62208731	62213770	NM_002407
TNNI1	1	201410327	201417793	NM_003281
ARRDC1	9	137605717	137615138	NM_001317968
SFMBT2	10	7163769	7381898	NM_001029880
GAGE12E	X	49533331	49587210	NM_001098418
ITIH5	10	7563082	7666892	NM_030569
SEC23B	20	18510835	18560740	NM_032985
ATAD3A	1	1512268	1534072	NM_018188
CREB5	7	28412914	28819279	NM_182898
HOMER1	5	79376008	79512774	NM_004272
CACNA1F	X	49205136	49233309	NM_005183
ADAM28	8	24294149	24354404	NM_014265
ITGA6	2	172427788	172504252	NM_000210
SMU1	9	33047292	33076608	NM_018225
CDK7	5	18155	69277135	NM_001324069
VDAC2	10	75211158	75230989	NM_001184783
GLIS2	16	32644	4337524	NM_001318918
ABCC5	3	183921299	184014392	NM_001320032
TEP1	14	20368436	20408439	NM_007110
HLTF	3	149032219	149086336	NM_003071
RPS6KA2	6	166412761	166862170	NM_001318936
FABP7	6	122749273	122783767	NM_001319041
AK2	1	33010828	33036828	NM_001319139
METAP1D	2	171999969	172080406	NM_001322278
NUBP1	16	10743863	10769105	NM_002484
SGCA	17	50166040	50175437	NM_000023
KIF13A	6	17760856	17987463	NM_001105568
TCF7	5	134114906	134146303	NM_001346425
GPR89A	1	145608133	145670040	NM_001097613
ANG	14	20693564	20694008	NM_001145
NUDT7	16	77722582	77741950	NM_001243657
PRKG1	10	50991378	52293900	NM_001098512
PTX4	16	1485938	1488909	NM_001328608
PPIAL4C	1	149583897	149584392	NM_001135789
RPN2	20	37179356	37241341	NM_001324301
DNAJA3	16	128204	4455568	NM_005147
ZNF518A	10	96156322	96160774	NM_001330733
RB1CC1	8	52623781	52685469	NM_014781
ABLIM3	5	149142095	149259575	NM_001301015
MOXD1	6	132297152	132401426	NM_015529
IBTK	6	82171424	82240486	NM_015525
ALKBH2	12	109088205	109092786	NM_001145374
CLPB	11	72293366	72434474	NM_001258394
GLIS3	9	3828271	4286425	NM_001042413
CCDC3	10	12898415	13001570	NM_001282658
DUSP28	2	240560684	240561467	NM_001033575
UNC45B	17	35148263	35186559	NM_001033576
MCM10	10	13164202	13209310	NM_182751
ELP4	11	31509784	31783538	NM_001288726
ZCCHC3	20	297586	298798	NM_033089
AK1	9	127868007	127874617	NM_000476
SEC31A	4	82819073	82891151	NM_001318120
PPP2R1B	11	111726964	111766361	NM_002716
BEND7	10	13439171	13500069	NM_152751
DCN	12	91146057	91178552	NM_001920
ALB	4	73404327	73420298	NM_000477
FRMD4A	10	13651904	14330102	NM_001318337
FBN1	15	48410989	48644769	NM_000138
NDUFS4	5	53560662	53683221	NM_002495
ZNF667	19	56441161	56462370	NM_001321356
ZNF529	19	36546865	36572346	NM_001321351
BIRC8	19	53289663	53290374	NM_033341
SELENOI	2	26346232	26389103	NM_033505
PDE4DIP	1	148808504	149032089	NM_001350520
UBXN2B	8	58411385	58447551	NM_001077619
ZNF846	19	9757474	9764950	NM_001077624
VPS37D	7	73667958	73671376	NM_001077621
FAM107A	3	58566587	58626994	NM_001282714
EXOSC2	9	130693791	130703774	NM_014285
PXYLP1	3	141260175	141293205	NM_152282
STAG3	7	100180556	100214015	NM_001282717
FOXA1	14	37591364	37594972	NM_004496
ESRRB	14	76439353	76500721	NM_004452
ECHDC1	6	127289868	127342371	NM_001002030
CSGALNACT1	8	19405779	19505834	NM_001130518
TTC27	2	32628292	32820938	NM_017735
C10orf111	10	15096356	15096824	NM_153244
PKIG	20	44614556	44618364	NM_001281444
ALG10B	12	38316893	38323924	NM_001013620
SDHC	1	161314405	161362540	NM_003001
ITGA8	10	15517157	15719771	NM_003638
MYOM2	8_KI270821v1_alt	234090	2144981	NM_003970
KDM6A	X	44873551	45111411	NM_001291415
GABBR1	6_GL000251v2_alt	868723	29632385	NM_001470
GSPT1	16	11873118	11915720	NM_001130007
SNW1	14	77718062	77761127	NM_001318844
CCDC182	17	57744810	57745272	NM_001282544
SYCP1	1	114855464	114995019	NM_001282541
PCBD1	10	70882386	70888533	NM_001289797
PAX6	11	31789933	31806411	NM_001310160
RPH3AL	17	158892	327543	NM_006987
SCN11A	3	38846693	38950362	NM_001349253
SVIL	10	29458246	29555058	NM_021738
RTTN	18	70004150	70205658	NM_173630
KBTBD4	11	47572929	47578951	NM_001318716
SPRY2	13	80336757	80337705	NM_001318537
PF4	4	73981203	73981953	NM_002619
ARIH1	15	72474639	72583292	NM_005744
TMEM88B	1	1426127	1427787	NM_001146685
PQLC1	18	79903975	79950926	NM_025078
ZNF385B	2	179443249	179769755	NM_152520
FMR1NB	X	147981402	148025000	NM_152578
CTAGE1	18	22415573	22417811	NM_172241
TIMM29	19	10928822	10929702	NM_138358
MRPL43	10	100979252	100987443	NM_176792
SPECC1L	22	24302231	24414623	NM_015330
EXOG	3	38496367	38524362	NM_001318957
STMN1	1	25885722	25904676	NM_001145454
PYROXD2	10	98383797	98415135	NM_032709
NME1	17	51154373	51161845	NM_198175
TPM3	1	154157638	154192018	NM_152263
ZNF717	3	75730449	75783362	NM_001324027
DAG1	3	49510534	49533199	NM_001165928
SLC25A5	X	119468515	119471058	NM_001152
AP1B1	22	29328820	29367243	NM_001127
LY6G6D	6	2963117	31717804	NM_021246
EBLN1	10	22208882	22209983	NM_001199938
ANP32A	15	68780080	68820751	NM_006305
SSR4	X	153794324	153798433	NM_001204527
UNC5B	10	71212985	71299277	NM_170744
FCGR1B	1	121087394	121096152	NM_001017986
USP19	3	49108411	49119145	NM_001351100
SNRPD1	18	21612429	21629138	NM_006938
PLD2	17	4807772	4822864	NM_002663
C4B_2	6_GL000256v2_alt	3229880	32035277	NM_001242823
MED20	6	41907071	41921018	NM_001305456
PTF1A	10	23192530	23193906	NM_178161
PATL1	11	59638389	59668895	NM_152716
FAM60A	12	173505	31298204	NM_001135811
DCLK1	13	35774534	36126137	NM_004734
NEB	2	151485759	151733156	NM_001271208
SLC17A5	6	73595076	73653886	NM_012434
GPAM	10	112153549	112181784	NM_001244949
C5orf15	5	133956858	133968584	NM_020199
NIT2	3	100334791	100355268	NM_020202
CARF	2	202918001	202983624	NM_001322427
RNF38	9	36339751	36400108	NM_194328
MRPL44	2	223957472	223967034	NM_022915
ABCA7	19	1041361	1065425	NM_019112
COQ2	4	83264198	83284914	NM_015697
DENND5A	11	9139670	9265069	NM_001348750
CFDP1	16	75293951	75433352	NM_006324
SYNJ2BP	14	70372990	70416963	NM_018373
DRAM1	12	101877789	101921260	NM_018370
ZNF808	19	52543284	52555628	NM_001321424
ABAT	16	8735739	8781430	NM_000663
SF1	11	64765388	64778392	NM_004630
DFNA5	7	24699025	24749774	NM_004403
ARMCX5	X	102602141	102603818	NM_001168479
TEX35	1	178513188	178523339	NM_032126
VEGFA	6	43770706	43784628	NM_001025366
PHF6	X	134377617	134425330	NM_032458
ZCCHC6	9	86288676	86353199	NM_001330718
ARFIP2	11	6477112	6480421	NM_001242854
TAL2	9	105662496	105662823	NM_005421
MASTL	10	27155426	27186536	NM_001320757
ACBD5	10	27197429	27240688	NM_001271512
RPUSD2	15	40569337	40574261	NM_152260
CCL28	5	43381859	43412316	NM_001301875
AZIN1	8	102828566	102843652	NM_015878
SPATA18	4	52051704	52094887	NM_145263
PTCHD3	10	159939	27414250	NM_001034842
SEPHS1	10	13319141	13344950	NM_012247
MKX	10	27675228	27743415	NM_173576
EIF3J	15	44537194	44561149	NM_003758
TEX38	1	46671934	46673456	NM_001145474
YIF1A	11	66284636	66288985	NM_020470
CREB1	2	207555635	207597058	NM_134442
SCLY	2	238061030	238098355	NM_016510
WAC	10	28533579	28619606	NM_100264
SHMT1	17	18328749	18355981	NM_004169
FAM83C	20	35286534	35292304	NM_178468
LIMD1	3	45594879	45677059	NM_014240
RBMXL2	11	7089120	7090299	NM_014469
DMBT1	10	122560770	122643398	NM_007329
TP63	3	189597182	189894502	NM_001329964
NTRK3	15	87876934	88256153	NM_001007156
ESR2	14	64227532	64282985	NM_001291712
PKLR	1_GL383519v1_alt	95594	155301395	NM_000298
ATXN3	14	92064319	92106552	NM_004993
OPA1	3	193593377	193692127	NM_130837
ZNF532	18	58918287	58984466	NM_018181
PPP1R12B	1	202348851	202580560	NM_001331029
KDELC1	13	102784494	102798670	NM_001318732
RHBDL1	16	675790	678052	NM_001318733
KLC2	11	66258594	66266956	NM_001134775
RTN4IP1	6	106571995	106629021	NM_032730
TIRAP	11	126290894	126293687	NM_001039661
AKAP10	17	19906226	19977679	NM_007202
SUPT16H	14	21352672	21383927	NM_007192
COL21A1	6	56057656	56182618	NM_001318751
EPHA5	4	65324113	65669742	NM_001281765
HDHD2	18	47108681	47136439	NM_001318765
OCRL	X	129540439	129590270	NM_001318784
ADAMTS9	3	64522170	64687657	NM_182920
RALGDS	9	133098586	133148980	NM_006266
NAXD	13	110615591	110638528	NM_018210
DECR1	8	90001492	90051897	NM_001330575
DYNC1LI2	16	66723721	66751591	NM_001323955
MECR	1	29194021	29230906	NM_001349712
TMEM143	19	48333218	48363920	NM_018273
CSPP1	8	67064398	67195593	NM_024790
ESRP2	16	68230225	68236045	NM_024939
ZCCHC4	4	25312809	25369164	NM_024936
ITM2C	2	230865025	230878099	NM_001287241
NEK2	1	211658656	211675479	NM_002497
GDPD2	X	70424984	70433086	NM_001171192
TRPV4	12	109783620	109814796	NM_021625
CUL2	10	35010310	35074226	NM_001324376
RPUSD1	16	785949	787737	NM_001324415
KMO	1	241532444	241592153	NM_003679
LGR5	12	71440080	71584734	NM_003667
TRMT44	4	8440822	8476001	NM_152544
SLC36A4	11	93148536	93197832	NM_001286139
SPIC	12	101476904	101486771	NM_152323
DUSP18	22	30663436	30664003	NM_001304794
CCNY	10	35337053	35569170	NM_001282853
MAP7D1	1	36156417	36180258	NM_018067
PDCD4	10	110876027	110898088	NM_145341
GJD4	10	35605567	35608626	NM_153368
TBL1Y	Y	7025084	7091492	NM_033284
OPN4	10	86654783	86665751	NM_001030015
MTRNR2L7	10	37601969	37602044	NM_001190489
REPIN1	7	150369711	150372945	NM_013400
MDN1	6	89644004	89819607	NM_014611
PCDH9	13	66304654	67228440	NM_203487
SOX14	3	137764784	137765507	NM_004189
TTC12	11	113316257	113366300	NM_001318533
NMBR	6	142075647	142088658	NM_002511
DTNB	2	25377329	25652660	NM_001351395
HBE1	11	5268468	5269890	NM_005330
HAS3	16	69109395	69118462	NM_001199280
PRPF6	20	63981245	64032993	NM_012469
CDIP1	16_KI270855v1_alt	214894	4514130	NM_001199054
CSGALNACT2	10	43155149	43183542	NM_018590
DIABLO	12	122208380	122226014	NM_001278304
CLDN7	17	7260373	7262043	NM_001307
MAP4	3	47852791	47998860	NM_002375
MBD1	18	50267587	50279992	NM_001323949
CIB2	15	78105310	78131215	NM_001301224
C10orf142	10	44292760	44293943	NM_001258000
RFC2	7	74232105	74254383	NM_001278791
C2CD4A	15	62067613	62068723	NM_207322
TMOD1	9	97524188	97599698	NM_003275
CCDC170	6	151494128	151618147	NM_025059
IL2RB	22	37128095	37144172	NM_000878
OR13A1	10	128203	45304422	NM_001004297
HNRNPUL1	19	41264503	41306565	NM_007040
AFMID	17	78187370	78206937	NM_001145526
WEE2	7	81358	141730320	NM_001105558
ZNF502	3	44720261	44722452	NM_001282880
ANAPC16	10	72223914	72233116	NM_001242546
MOB1B	4	70902536	70982057	NM_001244766
NR4A3	9	99826770	99863867	NM_173200
IL36RN	2	113059438	113062677	NM_012275
POU6F2	7	39006849	39464686	NM_007252
MUC1	1	155186134	155192843	NM_001204286
PTN	7	137228019	137254973	NM_002825
PTMS	12	6766705	6770442	NM_001330333
PTBP1	19	797497	810826	NM_002819
PSMD12	17	67340842	67366519	NM_001316341
UNC93B1	11	67991545	68004043	NM_030930
ASMTL	X	1403268	1452840	NM_004192
ARHGEF9	X	63638027	63785145	NM_015185
PDYN	20	1980322	1983084	NM_024411
PSME3	17	42833631	42841578	NM_001267045
DDC	7	50463230	50544085	NM_001082971
PPM1M	3	52245824	52249814	NM_144641
MCOLN3	1	85019122	85045360	NM_018298
HDHD3	9	113373598	113374354	NM_031219
ALAS1	3	52198818	52214180	NM_000688
FAM25C	10	47487274	47999765	NM_001137548
FAM25G	10	47487274	47999765	NM_001137549
RERG	12	15109109	15217489	NM_032918
DNM2	19	10718242	10831047	NM_001005360
ZNF513	2	27377544	27380526	NM_144631
FAM131A	3	184337630	184344970	NM_144635
DNAH9	17	11598498	11969527	NM_001372
KIDINS220	2	8726892	8827093	NM_001348738
NCOA6	20	34715321	34782355	NM_001318240
TBATA	10	70771375	70783379	NM_001318242
CREB3L2	7	137880475	138001705	NM_194071
NFAM1	22	42385160	42432357	NM_145912
WAPL	10	86437542	86518069	NM_015045
LHPP	10	124461862	124613360	NM_022126
CCDC157	22	30366000	30376745	NM_001318334
YPEL3	16	30092709	30095482	NM_031477
RFX4	12	106583320	106761469	NM_213594
ATP8B2	1	154327799	154349118	NM_020452
DOLPP1	9	129081131	129089007	NM_020438
DEFB136	8	11973936	11974599	NM_001033018
VSTM4	10	49019649	49115485	NM_001031746
FAM170B	10	49131612	49133918	NM_001164484
TEF	22	41367532	41395960	NM_003216
LETM2	8	38387983	38408274	NM_001286819
PCMTD1	8	51820350	51899111	NM_052937
C10orf71	10	49322545	49326853	NM_001135196
DRGX	10	49366115	49395440	NM_001276451
NEU1	6	3107496	31862776	NM_000434
GTF2I	7	74689128	74758838	NM_032999
STAU1	20	49114877	49166201	NM_001322929
TMPRSS11E	4	141203	68496804	NM_014058
GUCY2C	12	14613116	14696448	NM_004963
ABT1	6	26596982	26598645	NM_013375
CD209	19	7743038	7747511	NM_021155
MTFR1	8	65669952	65709044	NM_014637
FLT1	13	28303166	28494843	NM_002019
C10orf53	10	49679697	49708617	NM_182554
NUPR2	7	56116020	56116314	NM_001145712
ZNF181	19	34735037	34742097	NM_001029997
PHGR1	15	40353257	40356303	NM_001145643
CCL20	2	227813911	227817083	NM_004591
TRAPPC8	18	31830754	31942764	NM_014939
PRKACA	19	14093111	14117547	NM_001304349
ZBTB26	9	122918608	122919934	NM_001304364
ZFP42	4	188002807	188003740	NM_174900
ACTL6A	3	179563092	179588010	NM_178042
ABCA8	17	68868084	68942034	NM_001288985
FOXN3	14	89162413	89412476	NM_005197
CXXC1	18	50282592	50287589	NM_001101654
DIO1	1	53894210	53909999	NM_000792
SUPT7L	2	27653484	27662192	NM_001282730
LDAH	2	20686902	20801463	NM_021925
ASAH2B	10	50742924	50754740	NM_001321960
HTR1F	3	87990749	87991850	NM_001322208
ACP5	19	11575009	11577317	NM_001111035
SUV39H2	10	14878888	14902512	NM_001193424
TPSD1	16	1256280	1258376	NM_012217
SLC19A3	2	227687396	227702318	NM_025243
TPM2	9	35682080	35689817	NM_003289
MFNG	22	37469962	37486177	NM_002405
CYP26B1	2	72132226	72147834	NM_019885
SOX6	11	15972808	16402834	NM_017508
WFS1	4	6277455	6302468	NM_006005
PROM1	4	15971066	16075906	NM_001145847
RDM1	17	152873	35930727	NM_145654
STRBP	9	123125596	123184134	NM_018387
TMCO6	5	140639527	140645098	NM_001300980
HOOK3	8	42897131	43018498	NM_032410
MTRNR2L5	10	55599899	55599974	NM_001190478
TMSB4Y	Y	13704335	13705259	NM_004202
WARS	14	100334874	100369185	NM_004184
CD248	11	66314753	66317027	NM_020404
BICC1	10	58513143	58828891	NM_001080512
PPIP5K2	5	103129589	103201634	NM_001281471
CHRM5	15	34062717	34064316	NM_001320917
CASP7	10	113679754	113729540	NM_033338
LCN1	9	135521497	135526517	NM_002297
ZNF229	19	44428302	44442847	NM_014518
ZNF330	4	141222371	141233989	NM_014487
VAMP1	12	6462831	6470531	NM_199245
ETV2	19	35642460	35644852	NM_014209
SLC11A2	12	50981725	51028225	NM_001174129
MSRB3	12	65278768	65463322	NM_001193460
SLC5A7	2	107988155	108010861	NM_021815
JUND	19	18280440	18281484	NM_005354
ANO10	3	43366905	43605852	NM_001346464
INTS12	4	105682732	105700005	NM_020395
AFG1L	6	108295079	108522425	NM_145315
TMEM26	10	61410321	61453081	NM_178505
C10orf107	10	61681242	61766013	NM_173554
KLHL26	19	18637054	18669274	NM_001345982
FANCD2	3	10028657	10101262	NM_033084
TESPA1	12	54961168	54974562	NM_001351149
ZNF365	10	62376193	62670301	NM_014951
ADO	10	62805059	62805872	NM_032804
DLG4	17	7190707	7218849	NM_001365
BAALC	8	103140897	103228099	NM_024812
CAMKMT	2	44362007	44772113	NM_024766
KCTD17	22	37051739	37062594	NM_001282684
ZBTB45	19	58514053	58517673	NM_001316978
ZNF418	19	57926149	57933822	NM_001317027
TMEM259	19	1010349	1020996	NM_001033026
TBC1D7-LOC100130357	6	13305100	13326898	NM_001318809
KRT86	12	52301916	52308585	NM_001320198
FAM207A	21	44940057	44976803	NM_058190
SLC9A3	5	473378	524322	NM_004174
FLOT1	6_GL000251v2_alt	1983228	30742189	NM_005803
TMEM252	9	68537258	68540814	NM_153237
NINJ1	9	93124907	93134217	NM_004148
LBP	20	38346516	38376669	NM_004139
KCNMB1	5	170378703	170385447	NM_004137
NUP153	6	17616096	17706387	NM_001278209
WASHC4	12	105107800	105166931	NM_001293640
STARD7	2	96186729	96208434	NM_020151
NDUFA4L2	12	57235562	57237085	NM_020142
DNAJA4	15	78264313	78280460	NM_018602
AKT2	19	40233871	40265267	NM_001626
PBLD	10	68284176	68306844	NM_022129
PDE1C	7	31753383	32428131	NM_001322058
TMEM261	9	7798435	7799734	NM_001318058
HRAS	11	62276	534322	NM_176795
ATP6V1E2	2	46512030	46512711	NM_001318063
ENOSF1	18	674304	712587	NM_017512
ULBP1	6	149964049	149970125	NM_025218
TARM1	19_GL949748v2_alt	44369	54081340	NM_001330650
ACTN4	19	38647745	38729432	NM_004924
IL36B	2	113022673	113031709	NM_014438
DBF4	7	87876732	87908163	NM_006716
RUFY2	10	68345767	68407189	NM_017987
PIP5K1B	9	68822614	69008453	NM_003558
PCDH15	10	53806578	54664262	NM_001142771
SLC25A16	10	68483431	68527375	NM_001324315
PPM1K	4	88262594	88278583	NM_152542
STK36	2	218672829	218702009	NM_015690
DLEC1	3	38039225	38122605	NM_001321153
NSD2	4	1900654	1978909	NM_133334
